       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    501.96    537.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    557.45    663.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    612.82    697.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    443.02    448.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    367.32    437.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    443.66    542.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    531.11    657.34
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    691.03    807.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    510.72    627.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    584.12    778.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00    689.89    808.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    437.92    515.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    635.80    754.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    530.14    677.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    638.08    775.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    540.03    698.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    516.43    579.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    328.11    453.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    542.38    667.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    753.96    880.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    455.28    543.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    552.68    659.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    554.05    682.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    621.53    755.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    647.98    778.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    662.45    815.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00    457.36    593.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    489.60    610.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    481.81    577.58
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    537.02    623.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    869.58   1102.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    444.23    517.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    693.74    811.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    573.57    694.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    639.11    753.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00      0.00      0.00    499.12    660.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    667.76    784.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    651.53    772.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    477.83    591.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.84      0.00      0.00      0.00    503.65    595.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    588.01    729.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    544.93    626.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    724.35    826.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    571.41    711.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.33      0.00      0.00    615.90    740.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    471.21    628.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    502.65    639.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    559.73    607.50
