================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: MBE1BF6ECBD, driver: driver1 ----------------------------------
2015-11-07 11:40:32,024 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects360
2015-11-07 11:40:32,043 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects361
2015-11-07 11:40:32,055 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects362
2015-11-07 11:40:32,068 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects363
2015-11-07 11:40:32,083 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects364
2015-11-07 11:40:32,097 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects365
2015-11-07 11:40:32,112 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects366
2015-11-07 11:40:32,127 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects367
2015-11-07 11:40:32,140 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects368
2015-11-07 11:40:32,153 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects369
2015-11-07 11:40:32,166 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects370
2015-11-07 11:40:32,180 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects371
2015-11-07 11:40:32,194 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects372
2015-11-07 11:40:32,211 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects373
2015-11-07 11:40:32,223 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects374
2015-11-07 11:40:32,239 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects375
2015-11-07 11:40:32,253 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects376
2015-11-07 11:40:32,266 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects377
2015-11-07 11:40:32,280 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects378
2015-11-07 11:40:32,293 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects379
2015-11-07 11:40:32,306 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects380
2015-11-07 11:40:32,320 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects381
2015-11-07 11:40:32,334 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects382
2015-11-07 11:40:32,410 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects383
2015-11-07 11:40:32,424 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects384
2015-11-07 11:40:32,435 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects385
2015-11-07 11:40:32,450 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects386
2015-11-07 11:40:32,476 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects387
2015-11-07 11:40:32,490 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects388
