       p2p2       
 KB/s in  KB/s out
 KB/s in  KB/s out
  887.05    805.08
  771.41    675.56
  818.00    818.54
  914.53    829.33
  872.30    844.98
  818.05    687.52
 1032.71    981.80
  715.99    647.08
  918.40    835.58
  850.93    718.10
  944.24    848.12
  747.61    720.72
  615.55    603.69
  916.60    838.99
  864.98    805.67
  750.01    677.54
  973.06    860.40
  775.10    698.25
  841.02    729.95
  977.12    932.21
  868.28    769.23
  886.46    777.84
       p2p2       
 KB/s in  KB/s out
  744.11    658.78
  788.76    675.46
  810.75    749.67
  945.55    896.35
  757.99    599.44
  724.34    685.86
  963.68    864.58
 1021.58    944.58
  858.81    754.33
  897.71    781.52
  798.20    730.05
  899.05    779.12
  929.29    773.09
  904.74    876.00
  766.37    696.53
  844.64    718.70
  876.17    796.58
 1222.26   1143.47
  770.93    650.41
  879.23    766.11
  637.41    566.65
  776.58    657.97
       p2p2       
 KB/s in  KB/s out
  732.84    727.11
 1109.02    989.24
  845.62    728.91
  776.18    716.92
  765.62    705.65
 1208.34   1074.70
 1106.88    929.44
 1227.85    973.79
 1392.21   1161.93
 1370.63   1194.61
 1223.49    972.49
 1188.48    855.98
 1052.33    951.10
 1345.94   1162.05
 1216.89   1123.45
 1406.32   1169.92
 1374.53   1043.20
 1168.47    859.79
 1168.02   1006.41
 1233.37    922.47
 1329.37   1079.89
 1144.05   1094.54
       p2p2       
 KB/s in  KB/s out
 1040.81    904.78
 1137.09   1010.06
 1196.71    966.66
 1493.80   1263.58
 1450.14   1139.72
 1160.46    941.00
 1142.34   1113.11
 1088.00    805.33
 1491.43   1262.19
 1224.19   1057.96
 1236.09   1103.09
 1320.00   1074.10
 1175.69    949.77
 1298.02   1183.89
 1179.40   1019.42
 1005.07    758.52
 1318.21   1220.70
 1296.75   1075.13
 1099.21    984.70
 1243.83    984.78
 1191.15    977.81
 1255.76   1050.28
       p2p2       
 KB/s in  KB/s out
 1115.01   1091.66
 1054.87    911.28
 1298.16   1075.92
 1260.81   1052.08
 1372.15   1309.03
 1121.84    853.71
 1181.65    913.73
 1581.86   1262.87
 1212.97   1101.73
  975.66    896.43
 1243.00    987.99
 1298.81   1112.21
 1323.23   1049.23
 1286.84   1045.79
 1295.72   1141.13
 1091.86    911.01
 1287.71    994.43
 1430.90   1210.17
 1051.79    829.28
 1186.23   1070.17
 1197.40   1128.38
 1199.77    986.38
       p2p2       
 KB/s in  KB/s out
 1199.25    984.76
 1322.74   1118.82
  992.74    829.75
 1341.74   1073.51
 1240.47    934.61
 1370.75   1241.23
 1019.66    998.96
 1283.97   1169.15
 1247.58   1069.51
 1036.90    847.28
 1340.95   1084.19
 1153.50   1054.46
 1134.45    992.78
 1385.32   1132.10
 1047.49    892.18
 1109.71    947.28
 1392.01   1086.38
 1354.04   1180.90
 1110.19    980.51
 1542.26   1341.06
 1142.76    883.80
 1215.32   1047.25
       p2p2       
 KB/s in  KB/s out
 1450.99   1228.54
 1018.22    894.87
 1209.40   1030.04
 1324.30   1089.43
 1487.51   1257.61
 1173.99    982.75
 1020.41    803.88
 1288.00   1021.24
 1373.86   1142.66
 1160.62   1028.47
 1236.29    989.49
 1300.23   1021.41
 1393.40   1101.21
 1003.23    983.50
 1096.17    883.50
 1347.81   1207.40
 1087.21    853.04
 1140.21    965.43
 1191.11    959.15
 1308.98   1146.12
 1160.96    937.98
 1107.60    974.37
       p2p2       
 KB/s in  KB/s out
 1304.16   1118.28
 1200.55    916.14
 1313.98   1055.77
 1333.46   1179.86
 1175.29    899.14
 1221.46   1009.17
 1222.15    990.11
 1240.42   1092.15
  967.65    923.93
 1398.86   1102.94
 1256.23   1137.78
 1284.04    968.06
 1285.70   1237.31
 1382.46   1154.60
 1124.72    959.95
  853.64    687.18
  830.26    664.28
 1117.60    961.02
 2004.43   1915.43
 1966.20   1748.58
 1946.75   1623.39
 2036.76   1647.65
       p2p2       
 KB/s in  KB/s out
 1871.74   1664.98
 1918.11   1571.70
 2390.53   2084.49
 2139.91   1639.32
 2303.89   1951.82
 1913.11   1701.65
 1917.73   1652.67
 2032.23   1893.96
 2056.97   1657.79
 2239.74   1865.23
 2069.79   1720.81
 1937.68   1676.49
 2081.70   1727.31
 1991.35   1576.87
 2093.53   1881.49
 2004.64   1712.00
 1915.56   1707.87
 2090.64   1725.24
 1965.57   1587.58
 2243.81   1807.23
 2294.41   1893.33
 2036.33   1618.44
       p2p2       
 KB/s in  KB/s out
 1888.53   1403.55
 1956.34   1698.55
 2432.53   1838.01
 2057.51   1822.51
 1708.95   1589.21
 1983.54   1598.71
 2151.36   1769.84
 2158.60   1609.50
 1850.24   1423.39
 1784.61   1600.84
 2063.49   1679.42
 2164.28   1932.33
 2028.54   1640.85
 1655.26   1605.56
 1924.35   1756.77
 2393.40   2065.31
 1840.14   1454.34
 2286.94   1818.90
 2073.43   1634.62
 2106.54   1761.68
 2192.13   1892.60
 1815.84   1664.49
       p2p2       
 KB/s in  KB/s out
 2172.71   1658.58
 2215.86   1777.38
 1861.67   1471.88
 2312.90   2030.45
 2012.95   1564.81
 2339.93   1905.95
 2093.29   1910.15
 1990.45   1719.69
 2008.58   1703.94
 1990.55   1741.66
 2286.63   1937.08
 2044.32   1778.98
 2218.77   1983.77
 1939.72   1517.86
 2115.40   1753.62
 1943.35   1668.34
 1736.49   1591.83
 2011.20   1527.65
 2181.78   1761.34
 2117.71   1619.11
 2171.59   1682.99
 1829.61   1420.21
       p2p2       
 KB/s in  KB/s out
 2034.57   1798.78
 2290.16   1834.60
 2046.91   1878.83
 2194.46   2040.01
 2103.65   1575.30
 1989.84   1851.99
 2142.38   1641.39
 2235.92   1940.73
 2262.11   1752.85
 2015.00   1676.53
 2285.13   2109.74
 2046.29   1576.10
 2192.65   1825.80
 2269.17   1785.66
 1706.27   1569.50
 2064.17   1866.62
 2226.20   1557.17
 2112.19   1785.72
 2220.13   1842.73
 1886.51   1685.01
 2099.17   1834.94
 2189.75   1854.39
       p2p2       
 KB/s in  KB/s out
 2092.43   1696.11
 2112.30   1613.95
 1923.74   1864.53
 1812.31   1664.93
 1775.33   1499.46
 1811.54   1623.96
 2368.65   1879.41
 1987.14   1633.23
 1841.95   1490.37
 2049.14   1585.08
 2392.50   2135.99
 2123.81   1813.83
 1987.65   1802.11
 1908.97   1694.41
 1926.44   1651.25
 2228.92   1827.91
 2389.64   1826.94
 2082.55   1737.16
 2038.76   1627.40
 2193.25   1769.08
 2026.64   1624.16
 2173.46   1697.84
       p2p2       
 KB/s in  KB/s out
 2172.72   1826.37
 1968.61   1858.93
 2284.53   1817.77
 2023.58   1675.91
 2332.20   1713.07
 1199.09    986.48
  842.50    617.77
  972.87    720.47
 1876.27   1591.58
 2432.34   2210.84
 1955.14   1698.23
 1966.38   1898.61
 2634.92   2207.89
 2373.77   2020.33
 2380.92   1817.82
 2165.84   1916.01
 2370.29   1882.55
 2408.15   1963.65
 2572.13   2199.28
 2364.38   1951.69
 2171.02   2028.00
 2035.86   1843.63
       p2p2       
 KB/s in  KB/s out
 2366.49   1851.63
 2248.33   2037.58
 2670.01   2065.86
 2433.36   2245.81
 2257.22   2089.23
 2379.14   1939.19
 2399.14   1930.78
 2265.13   1821.30
 2322.46   2024.52
 2534.98   2103.28
 2277.62   1906.73
 2059.15   2081.48
 2431.44   1998.46
 2197.33   1896.90
 2278.03   2041.04
 2410.60   1832.99
 2625.95   2183.61
 2496.18   1976.36
 2257.82   1804.81
 2514.49   2092.36
 2492.11   2162.13
 2318.56   2015.51
       p2p2       
 KB/s in  KB/s out
 2204.55   1995.70
 2241.08   1765.61
 2216.10   2057.08
 2619.75   2103.89
 2303.37   1932.59
 2591.23   2152.60
 2072.04   1845.26
 2373.09   2138.67
 2433.33   2166.79
 2555.81   2063.87
 2538.20   2018.72
 2175.00   2008.22
 2137.08   2069.80
 2492.81   1974.15
 2555.63   2178.66
 2418.63   1998.30
 2236.16   1850.40
 2451.13   2139.14
 2471.55   2209.20
 2342.00   1959.14
 2147.30   1952.20
 2373.52   1987.07
       p2p2       
 KB/s in  KB/s out
 2370.27   2095.07
 2482.10   1958.30
 2329.58   2004.48
 2328.67   1759.23
 2166.03   1623.77
 2530.97   2250.46
 2367.00   2061.26
 2249.64   2069.36
 2022.70   1825.40
 2649.42   2189.08
 2322.53   2057.43
 2483.02   2007.66
 2384.07   1935.03
 2318.35   1922.92
 2216.42   1911.18
 2498.96   1988.71
 2355.36   1825.78
