       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2650.94   2487.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2452.03   2457.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2596.71   2457.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2447.32   2236.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   3315.26   3229.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2419.69   2415.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2397.09   2406.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2595.95   2689.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2354.98   2256.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2371.62   2238.91
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2260.30   2053.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2368.56   2208.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2316.48   2385.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2418.78   2365.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2417.67   2361.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2568.55   2325.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2395.57   2137.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2509.26   2323.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.67      0.00      0.00      0.00   2327.17   2222.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2618.42   2554.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2475.20   2485.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2514.21   2446.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2487.11   2426.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2548.70   2243.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2466.40   2284.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2660.52   2323.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2574.60   2388.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2639.10   2465.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2515.08   2318.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2432.76   2372.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2331.60   2176.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2589.45   2475.05
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   3503.43   3334.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2470.04   2182.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2476.08   2195.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2397.80   2253.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2741.34   2609.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2326.10   2233.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2635.84   2529.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2534.23   2366.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2447.34   2428.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2193.67   2100.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2764.08   2792.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2445.14   2335.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2710.77   2625.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2431.77   2248.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2110.02   2191.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2438.95   2441.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2603.45   2418.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2447.19   2552.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2635.17   2583.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2742.74   2741.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2612.60   2475.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2398.12   2306.07
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2446.57   2289.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2533.73   2446.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2737.51   2594.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2525.28   2456.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2857.39   2822.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2388.76   2286.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2403.40   2406.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2423.99   2468.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2455.87   2492.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2664.20   2498.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2361.48   2238.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2560.44   2620.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2476.58   2324.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2363.09   2212.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2579.89   2528.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2379.65   2343.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2304.99   2235.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2270.09   2113.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2298.75   2306.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2463.43   2228.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2382.58   2137.15
