Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

12:38:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:38:15 AM  all   35.50    0.00    8.15   34.04    0.04    1.20    0.00    0.00    0.00   21.07
12:38:16 AM  all   22.58    0.00    7.68   39.98    0.00    0.85    0.00    0.00    0.00   28.92
12:38:17 AM  all   17.62    0.00    5.60   44.91    0.00    0.63    0.00    0.00    0.00   31.24
12:38:18 AM  all   26.23    0.00    8.92   37.80    0.00    0.81    0.00    0.00    0.00   26.23
12:38:19 AM  all   21.66    0.00    7.73   47.88    0.00    1.25    0.00    0.00    0.00   21.48
12:38:20 AM  all   16.51    0.00    6.91   52.33    0.00    0.78    0.00    0.00    0.00   23.47
12:38:21 AM  all   27.34    0.00    8.70   43.11    0.00    1.19    0.00    0.00    0.00   19.66
12:38:22 AM  all   18.29    0.00    6.27   52.12    0.00    0.88    0.00    0.00    0.00   22.44
12:38:23 AM  all   12.51    0.00    6.16   57.82    0.00    0.84    0.00    0.00    0.00   22.68
12:38:24 AM  all   25.03    0.00   11.27   41.01    0.00    0.98    0.00    0.00    0.00   21.70
12:38:25 AM  all   15.62    0.00    5.86   52.36    0.00    0.96    0.00    0.00    0.00   25.20
12:38:26 AM  all   29.23    0.00    9.25   36.74    0.00    1.25    0.00    0.00    0.00   23.53
12:38:27 AM  all   31.22    0.00    9.96   37.17    0.00    1.06    0.00    0.00    0.00   20.59
12:38:28 AM  all   30.58    0.00    8.58   38.63    0.00    1.11    0.00    0.00    0.00   21.11
12:38:29 AM  all   24.94    0.00    8.43   40.47    0.00    1.03    0.00    0.00    0.00   25.12
12:38:30 AM  all   16.81    0.00    5.09   52.11    0.00    0.66    0.00    0.00    0.00   25.33
12:38:31 AM  all   30.51    0.00    7.93   35.86    0.00    0.89    0.00    0.00    0.00   24.81
12:38:32 AM  all   26.39    0.00    9.10   35.13    0.00    1.40    0.00    0.00    0.00   27.98
12:38:33 AM  all   22.81    0.00    7.66   38.00    0.00    0.86    0.00    0.00    0.00   30.66
12:38:34 AM  all   11.45    0.00    4.46   49.55    0.00    0.67    0.00    0.00    0.00   33.87
12:38:35 AM  all   23.81    0.00    8.55   43.39    0.00    0.88    0.00    0.00    0.00   23.37
12:38:36 AM  all   19.24    0.00    8.27   45.60    0.00    1.15    0.00    0.00    0.00   25.74
12:38:37 AM  all   27.28    0.00   10.63   42.25    0.00    1.33    0.00    0.00    0.00   18.51
12:38:38 AM  all   19.15    0.00    7.84   48.02    0.00    0.89    0.00    0.00    0.00   24.10
12:38:39 AM  all   33.66    0.00   11.41   34.11    0.00    1.25    0.00    0.00    0.00   19.57
12:38:40 AM  all   22.67    0.00    7.79   45.66    0.00    0.84    0.00    0.00    0.00   23.03
