Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s16-1m-4t,write,write,5137,5260288000,93.26,83.89,100,100,110,110,130,1180,42.82,43848233.53,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:04:09,submitting @ 2015-10-23 23:04:09,authing @ 2015-10-23 23:04:09,launching @ 2015-10-23 23:04:09,running @ 2015-10-23 23:04:10,closing @ 2015-10-23 23:06:10,completed @ 2015-10-23 23:06:10
s17-1m-16t,write,write,11886,12171264000,161.05,151.97,160,170,180,200,700,2950,99.27,101653445.1,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:06:12,submitting @ 2015-10-23 23:06:12,authing @ 2015-10-23 23:06:12,launching @ 2015-10-23 23:06:12,running @ 2015-10-23 23:06:13,closing @ 2015-10-23 23:08:13,completed @ 2015-10-23 23:08:13
s18-1m-32t,write,write,13288,13606912000,286.81,277.64,260,310,400,610,1290,2740,111.52,114200457.4,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:08:15,submitting @ 2015-10-23 23:08:15,authing @ 2015-10-23 23:08:15,launching @ 2015-10-23 23:08:15,running @ 2015-10-23 23:08:16,closing @ 2015-10-23 23:10:21,completed @ 2015-10-23 23:10:21
s19-1m-64t,write,write,15177,15541248000,504.96,495.49,460,560,760,1110,1950,7570,126.71,129748314.82,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:10:23,submitting @ 2015-10-23 23:10:23,authing @ 2015-10-23 23:10:23,launching @ 2015-10-23 23:10:23,running @ 2015-10-23 23:10:24,closing @ 2015-10-23 23:12:29,completed @ 2015-10-23 23:12:29
s20-1m-128t,write,write,16340,16732160000,935.31,925.91,770,990,1490,2210,6420,15620,136.82,140108673.65,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:12:31,submitting @ 2015-10-23 23:12:31,authing @ 2015-10-23 23:12:32,launching @ 2015-10-23 23:12:32,running @ 2015-10-23 23:12:32,closing @ 2015-10-23 23:14:37,completed @ 2015-10-23 23:14:37
s21-16m-1t,write,write,556,9109504000,215.51,128.63,210,230,250,290,580,720,4.64,75970777.6,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:14:39,submitting @ 2015-10-23 23:14:39,authing @ 2015-10-23 23:14:39,launching @ 2015-10-23 23:14:40,running @ 2015-10-23 23:14:40,closing @ 2015-10-23 23:16:40,completed @ 2015-10-23 23:16:40
s22-16m-4t,write,write,1080,17694720000,442.95,359.48,420,560,700,820,1240,1750,9.03,147903329.71,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:16:42,submitting @ 2015-10-23 23:16:42,authing @ 2015-10-23 23:16:42,launching @ 2015-10-23 23:16:43,running @ 2015-10-23 23:16:43,closing @ 2015-10-23 23:18:48,completed @ 2015-10-23 23:18:48
s23-16m-16t,write,write,2380,38993920000,804.35,691.9,820,1010,1160,1340,1740,2220,19.89,325851318.69,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:18:50,submitting @ 2015-10-23 23:18:50,authing @ 2015-10-23 23:18:50,launching @ 2015-10-23 23:18:51,running @ 2015-10-23 23:18:51,closing @ 2015-10-23 23:20:56,completed @ 2015-10-23 23:20:56
s24-16m-32t,write,write,2850,46694400000,1335.56,1204.42,1350,1650,1960,2290,3100,4600,23.96,392502384.41,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:20:58,submitting @ 2015-10-23 23:20:58,authing @ 2015-10-23 23:20:58,launching @ 2015-10-23 23:20:59,running @ 2015-10-23 23:20:59,closing @ 2015-10-23 23:23:04,completed @ 2015-10-23 23:23:04
s25-16m-64t,write,write,3178,52068352000,2390.74,2261.01,2410,3110,3750,4490,5910,9110,26.77,438578982.41,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:23:06,submitting @ 2015-10-23 23:23:06,authing @ 2015-10-23 23:23:06,launching @ 2015-10-23 23:23:07,running @ 2015-10-23 23:23:07,closing @ 2015-10-23 23:25:12,completed @ 2015-10-23 23:25:12
s26-16m-128t,write,write,3144,51511296000,4735.26,4562.82,4670,6330,7920,9800,14140,19990,27.04,442954305.93,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:25:14,submitting @ 2015-10-23 23:25:14,authing @ 2015-10-23 23:25:15,launching @ 2015-10-23 23:25:15,running @ 2015-10-23 23:25:15,closing @ 2015-10-23 23:27:20,completed @ 2015-10-23 23:27:20
s27-64m-1t,write,write,186,12189696000,643.4,317.53,600,770,930,1020,1380,1570,1.55,101835388.47,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:27:23,submitting @ 2015-10-23 23:27:23,authing @ 2015-10-23 23:27:23,launching @ 2015-10-23 23:27:23,running @ 2015-10-23 23:27:23,closing @ 2015-10-23 23:29:23,completed @ 2015-10-23 23:29:23
s28-64m-4t,write,write,342,22413312000,1394.38,694.26,1450,1680,1850,2000,2340,2650,2.87,187975058.12,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:29:26,submitting @ 2015-10-23 23:29:26,authing @ 2015-10-23 23:29:26,launching @ 2015-10-23 23:29:26,running @ 2015-10-23 23:29:26,closing @ 2015-10-23 23:31:31,completed @ 2015-10-23 23:31:31
s29-64m-16t,write,write,680,44564480000,2801.25,1386.42,2890,3260,3460,3760,4400,4940,5.71,374309437.41,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:31:34,submitting @ 2015-10-23 23:31:34,authing @ 2015-10-23 23:31:34,launching @ 2015-10-23 23:31:34,running @ 2015-10-23 23:31:34,closing @ 2015-10-23 23:33:39,completed @ 2015-10-23 23:33:39
s30-64m-32t,write,write,762,49938432000,4939.62,2434.8,5070,5720,6460,7270,8850,10280,6.48,424514539.96,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:33:41,submitting @ 2015-10-23 23:33:41,authing @ 2015-10-23 23:33:42,launching @ 2015-10-23 23:33:42,running @ 2015-10-23 23:33:42,closing @ 2015-10-23 23:35:47,completed @ 2015-10-23 23:35:47
s31-64m-64t,write,write,799,52363264000,9214.91,4588.11,9490,11200,13090,14360,17900,25790,6.95,455207234.82,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:35:50,submitting @ 2015-10-23 23:35:50,authing @ 2015-10-23 23:35:50,launching @ 2015-10-23 23:35:50,running @ 2015-10-23 23:35:50,closing @ 2015-10-23 23:38:00,completed @ 2015-10-23 23:38:00
s32-64m-128t,write,write,783,51314688000,17917.56,8252.5,17640,21230,25340,28740,39610,52080,7.14,468227931.96,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:38:03,submitting @ 2015-10-23 23:38:03,authing @ 2015-10-23 23:38:03,launching @ 2015-10-23 23:38:03,running @ 2015-10-23 23:38:03,closing @ 2015-10-23 23:40:18,completed @ 2015-10-23 23:40:18
