Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

12:38:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:39:14 AM  all   38.31    0.00   24.56   21.70    0.00    1.67    0.00    0.00    0.00   13.75
12:39:15 AM  all   24.86    0.00    6.72   42.15    0.00    1.08    0.00    0.00    0.00   25.18
12:39:16 AM  all   22.22    0.00    7.39   45.24    0.00    0.89    0.00    0.00    0.00   24.27
12:39:17 AM  all   26.12    0.00   29.50   26.38    0.00    1.00    0.00    0.00    0.00   17.01
12:39:18 AM  all   32.76    0.00    9.64   32.94    0.00    1.53    0.00    0.00    0.00   23.12
12:39:19 AM  all   22.68    0.00    7.18   38.89    0.00    1.21    0.00    0.00    0.00   30.04
12:39:20 AM  all   27.02    0.00    7.31   41.06    0.00    0.94    0.00    0.00    0.00   23.67
12:39:21 AM  all   28.71    0.00   26.91   28.71    0.00    1.40    0.00    0.00    0.00   14.27
12:39:22 AM  all   29.67    0.00   19.39   28.01    0.00    2.11    0.00    0.00    0.00   20.83
12:39:23 AM  all   18.61    0.00    5.82   46.94    0.00    1.03    0.00    0.00    0.00   27.61
12:39:24 AM  all   26.05    0.00    8.26   43.45    0.00    1.42    0.00    0.00    0.00   20.82
12:39:25 AM  all   26.16    0.00    8.54   41.28    0.00    1.43    0.00    0.00    0.00   22.58
12:39:26 AM  all   28.74    0.00   18.09   35.08    0.00    1.76    0.00    0.00    0.00   16.33
12:39:27 AM  all   22.74    0.00    7.82   43.82    0.04    1.53    0.00    0.00    0.00   24.04
12:39:28 AM  all   21.17    0.00   16.48   41.21    0.00    1.01    0.00    0.00    0.00   20.12
12:39:29 AM  all   19.48    0.00   23.42   39.01    0.00    1.09    0.00    0.00    0.00   16.99
12:39:30 AM  all   28.52    0.00    7.57   42.61    0.00    1.32    0.00    0.00    0.00   19.98
12:39:31 AM  all   30.53    0.00    8.81   40.81    0.00    1.56    0.00    0.00    0.00   18.29
12:39:32 AM  all   26.22    0.00   13.22   42.06    0.00    1.29    0.00    0.00    0.00   17.21
12:39:33 AM  all   31.16    0.00   43.88   16.33    0.00    1.63    0.00    0.00    0.00    7.00
