       p2p2       
 KB/s in  KB/s out
  776.45   1170.42
  879.21   1311.82
  835.28   1239.74
 1194.85   1574.45
  743.99   1152.77
 1063.79   1422.97
  927.68   1320.72
  920.92   1320.57
 1148.21   1543.91
 1011.25   1431.82
  783.04    970.20
  646.13    653.52
  752.19    755.99
  721.22    713.92
 1099.59   1479.74
  904.08   1290.92
 1284.48   1692.67
  771.07   1199.59
  924.51   1278.02
 1023.87   1399.38
  942.51   1276.03
 1064.26   1437.92
       p2p2       
 KB/s in  KB/s out
 1083.09   1457.23
  981.73   1398.07
 1125.90   1568.54
  999.73   1392.27
 1203.41   1507.37
  938.83   1283.03
 1199.24   1588.83
 1014.41   1367.86
 1053.70   1482.47
 1068.08   1471.01
  892.83   1255.39
  940.37   1348.91
 1006.84   1482.36
 1016.64   1401.58
  928.52   1329.95
  791.35   1180.92
  911.53   1283.19
 1126.31   1514.29
 1185.94   1530.65
 1424.01   1644.88
 1766.24   1461.55
  875.58   1217.51
       p2p2       
 KB/s in  KB/s out
  990.16   1301.71
 1174.88   1370.95
 1588.98   1618.41
 1605.63   1429.01
 1146.89   1228.04
  850.35   1135.29
 1237.49   1513.43
 1844.98   1807.95
 1881.22   1416.41
  917.34   1302.18
  950.34   1373.89
 1193.22   1409.11
 1669.68   1695.76
 1589.41   1505.78
 1095.32   1192.96
 1157.87   1465.91
 1205.38   1520.99
 1903.03   1923.23
 1852.82   1435.98
  881.84   1292.17
 1199.92   1586.63
 1244.02   1418.24
       p2p2       
 KB/s in  KB/s out
 1556.86   1567.12
 1584.07   1424.67
 1155.86   1379.61
  995.19   1374.18
 1212.46   1486.41
 1636.64   1596.79
 1781.60   1403.81
 1030.10   1461.99
  923.77   1294.08
  922.68   1364.48
 1666.60   1784.02
 1961.19   1387.82
  880.09   1298.08
 1179.32   1544.30
 1142.51   1364.95
 2218.41   1680.67
  987.93   1398.53
 1106.85   1282.77
 1094.62   1452.24
 1078.69   1386.45
 1577.90   1584.25
 1822.45   1383.60
       p2p2       
 KB/s in  KB/s out
  927.86   1358.25
 1067.60   1426.65
 1258.13   1428.14
 2106.98   1548.69
 1302.88   1492.44
 1100.95   1523.14
  647.84    985.41
 1120.70   1520.78
 1599.45   1740.81
 2110.03   1459.93
 1099.79   1436.89
  942.85   1305.55
 1187.83   1399.25
 2279.94   1871.63
 1156.38   1528.25
 1359.37   1541.52
  833.69   1228.19
  944.63   1218.79
 2032.85   1970.97
 1932.62   1591.19
  960.15   1351.58
  949.24   1316.53
       p2p2       
 KB/s in  KB/s out
  886.31   1293.88
 1877.28   1869.17
 1880.49   1407.85
 1192.20   1539.13
  935.20   1318.71
 1103.25   1298.63
 2199.25   1701.42
 1261.57   1421.85
 1057.29   1410.22
 1132.94   1544.68
 1035.82   1305.30
 1518.51   1721.25
 2019.26   1472.58
  817.41   1183.39
