       p2p2       
 KB/s in  KB/s out
  979.69   1298.03
  835.71   1121.45
  903.59   1234.12
  503.16    463.47
  585.67    522.56
  375.67    369.36
  715.81    937.65
 1028.99   1360.69
  865.94   1184.32
  912.82   1233.77
  660.08    992.32
  864.38   1164.48
  811.90   1113.40
  954.17   1250.79
  942.71   1239.11
  862.41   1209.74
  866.97   1204.74
  810.92   1129.56
  819.60   1117.79
  824.41   1100.09
       p2p2       
 KB/s in  KB/s out
  822.19   1171.58
  969.84   1267.21
  844.25   1138.44
  755.52   1101.51
  876.20   1239.03
  764.47   1092.57
  934.70   1295.73
  802.39   1108.17
  905.69   1219.58
  902.31   1181.92
  799.72   1076.47
  913.50   1216.52
  850.29   1154.78
  879.23   1234.89
  983.17   1294.49
  796.87   1156.14
 1118.27   1479.47
  734.50   1069.50
  936.58   1271.57
 1014.06   1327.17
  712.43   1084.18
  811.07   1178.25
       p2p2       
 KB/s in  KB/s out
  808.29   1151.77
  880.31   1266.06
  917.80   1246.27
  809.22   1115.28
  903.60   1214.51
  941.71   1236.45
  943.83   1266.30
  738.62   1099.63
  763.60   1114.09
  908.92   1246.54
  879.94   1253.59
  818.12   1081.20
  895.29   1234.83
  837.55   1161.15
  858.54   1209.54
  981.31   1286.93
  710.71   1036.35
  843.51   1174.83
  864.66   1205.68
  662.02    971.77
  941.28   1252.24
  860.92   1177.19
       p2p2       
 KB/s in  KB/s out
  698.46   1008.82
  774.26   1134.37
  684.06    764.30
  593.80    549.95
  510.49    463.29
  474.94    440.54
  509.88    505.07
  524.56    486.45
  734.32    700.97
  372.63    378.28
  474.10    742.50
  451.08    774.84
  617.87    845.72
  636.30    731.05
  598.49    828.38
  463.86    683.99
  468.08    505.18
  433.91    721.24
  622.00    780.31
  519.00    804.70
  546.63    750.15
  574.21    799.08
       p2p2       
 KB/s in  KB/s out
  470.86    712.81
  526.60    865.18
  425.41    589.94
  474.34    715.07
  606.15   1022.29
  492.22    725.75
  567.91    821.19
  499.75    802.65
  481.06    931.21
  381.66    614.24
  553.35    784.51
  743.07   1161.22
  777.66   1063.86
  394.62    727.68
  402.80    629.30
  457.40    939.25
  575.14    665.64
  532.88    693.65
  420.49    996.74
  531.04    918.48
  635.31   1060.16
  436.91    592.56
       p2p2       
 KB/s in  KB/s out
  666.03   1068.41
  381.59    648.08
  501.82    927.75
  663.60   1025.22
  413.22    522.46
  425.42    467.08
  523.02    746.70
  547.41    898.87
  584.54    841.02
  374.61    465.28
  416.58    708.48
  576.99    875.77
  558.32    787.73
  413.00    571.63
  576.43    850.56
  445.64    629.13
  584.60    625.91
  567.67    672.15
  326.93    513.88
  621.13    963.77
  478.55    893.79
  408.09    713.08
       p2p2       
 KB/s in  KB/s out
  584.66   1006.65
  540.83    693.95
  672.12   1105.12
  543.03    901.83
  390.18    360.95
  427.13    390.42
  587.20    780.85
  592.36   2066.88
  646.27   1787.88
  558.46   1788.33
  526.14   1807.83
  765.78   1931.40
  461.86   1700.13
  530.42   1491.44
  549.56   1847.00
  377.75   1777.25
  705.94   1858.66
  557.16   2188.46
  586.73   1807.17
  658.00   1607.57
  578.14   1617.50
  585.51   1671.94
       p2p2       
 KB/s in  KB/s out
  571.70   1555.56
  544.20   1491.93
  606.61   1855.49
  636.24   2112.04
  593.58   1997.18
  668.65   1766.45
  464.89   1441.37
  468.10   1744.49
  700.05   2063.82
  629.76   1887.59
  647.50   2008.61
  575.06   2114.16
  523.17   1945.21
  661.71   2198.84
  681.39   2013.67
  510.44   1541.86
  535.96   1480.33
  630.13   1651.81
  713.80   2033.51
  654.88   1774.90
  556.25   2229.97
  636.43   1632.69
       p2p2       
 KB/s in  KB/s out
  627.89   1926.55
  519.62   1848.70
  527.37   1603.03
  725.93   1892.12
  490.62   1619.99
  583.25   1548.86
  461.30   1563.92
  765.44   2288.07
  613.56   1665.41
  576.78   2145.95
  507.57   1401.18
  547.90   2063.58
  777.87   1938.27
  514.38   1866.00
  543.99   1928.54
  454.36   2141.46
  601.55   1747.36
  733.80   1986.89
  600.46   1505.86
  589.79   1428.47
  544.64   1927.54
  591.29   1875.13
       p2p2       
 KB/s in  KB/s out
  602.34   1411.03
  677.91    571.79
  436.77    379.17
  599.18   1823.85
  815.88   5798.17
  716.02   5786.78
  735.05   5241.20
  665.86   5952.90
  672.52   5578.27
  789.34   6008.29
  781.72   4921.65
  744.63   6023.94
  845.57   6380.30
  614.92   6628.14
  707.34   5736.12
  928.79   6196.83
  672.72   5152.47
  586.17   5683.07
  773.10   6122.55
  785.54   6451.13
  815.73   5480.01
  721.21   5951.63
       p2p2       
 KB/s in  KB/s out
  698.64   5573.50
  856.45   6136.62
  654.04   5935.50
  977.70   5721.24
  907.22   5946.31
  648.55   5249.60
  582.44   5836.55
  682.74   5511.53
  862.67   5139.69
  836.41   5655.41
  835.69   6178.52
  729.26   5473.40
  709.86   4987.08
  780.02   6431.48
  741.74   6525.88
  777.78   6276.44
  829.02   5994.24
  726.46   5652.54
  827.16   5764.39
  755.95   6495.97
  690.17   5376.90
  882.76   5112.20
       p2p2       
 KB/s in  KB/s out
  771.82   5381.25
  746.48   5544.18
  852.54   6136.83
  698.83   5114.69
  757.50   6634.30
  781.31   5514.06
  863.57   6293.79
  696.48   5756.68
  662.00   6204.40
  897.77   6109.67
  686.53   4580.31
  804.43   5078.86
  863.56   5532.97
  612.28   5038.94
  776.75   5657.35
  775.70   5436.95
  747.09   5704.86
  734.03   5746.83
  726.19   6370.59
  678.32   4121.55
  280.96    214.79
  606.83    550.44
       p2p2       
 KB/s in  KB/s out
  797.70   3126.84
  828.41   8848.87
  873.65   8049.33
  911.28  10690.80
 1008.51   9223.58
  848.51   8617.61
  847.49  10145.87
 1043.51   9120.01
  919.34  10006.94
  934.71   8995.88
 1127.76   9752.49
  812.21   9089.87
  853.93   9272.75
  969.36   9241.23
  860.59   9127.12
  919.78   9833.03
  982.51  10112.67
  903.38   9642.66
 1006.73  10193.69
  936.16   9075.27
  982.31  10016.99
  795.70  10126.18
       p2p2       
 KB/s in  KB/s out
  886.42   9317.63
  983.02   8922.77
  946.22   9623.47
  816.85  10042.42
  905.69   8971.18
  819.68  10168.41
  941.43   8352.22
 1007.53   8951.87
  817.30   8450.18
  949.45   9761.45
 1006.41   9627.63
  775.63   9514.48
  939.73   9758.34
  889.46   9566.21
  848.77   9205.62
 1072.18   9154.05
  834.83   9298.79
 1086.77   9428.87
  901.87   8111.62
  826.12   9543.23
  992.85   9220.97
  991.20   9139.17
       p2p2       
 KB/s in  KB/s out
  827.49   8721.77
  852.77   9928.56
 1013.70   9639.70
  923.95   9277.20
  987.26   9579.73
 1134.17   9066.97
  877.62   9593.22
  956.95  10646.36
  909.43   9101.94
  939.83   8896.99
  846.81   7935.28
  979.29   8726.30
  931.34   7925.57
  939.99   9285.88
 1037.13  10217.88
  923.78   9414.04
  800.84   6397.80
  535.39    495.90
  393.81    378.21
  559.00   2120.67
 1070.53  11726.02
 1086.23  11147.47
       p2p2       
 KB/s in  KB/s out
  931.45  10476.38
  838.25   9399.98
 1033.59  10909.30
 1087.35  10038.18
  981.96  10580.31
 1057.13  12061.51
  848.88  11038.67
  999.22  10456.06
  930.30  10752.36
 1057.17  11355.87
 1040.36  11559.40
  922.65   9307.25
  937.54   9576.32
 1167.32  10249.33
  888.44  10842.77
  992.57  11308.81
  952.58  10178.07
 1007.93  10435.57
  966.03   9115.37
  988.99  10465.78
 1080.00  10505.58
  877.44  10462.20
       p2p2       
 KB/s in  KB/s out
 1088.94  10022.39
 1112.18  11248.85
 1033.04  10140.63
  831.47  10353.61
  942.87  10952.61
  862.91  10334.55
  995.79  10532.76
  987.92  11250.62
  989.80  10901.45
  965.32  11071.45
 1114.49   9578.20
  977.55  10440.29
  947.23   9964.72
  875.23  10595.63
 1004.20   9161.12
 1017.87  10014.73
  909.26  10453.48
 1110.98  11588.82
  940.00  11711.54
 1019.93  10988.08
  977.69  10568.49
  872.45  11728.98
       p2p2       
 KB/s in  KB/s out
 1065.83  10917.85
 1032.95   9576.05
  904.63  10195.59
  984.10  11499.02
  993.38  11692.32
  864.91  11187.48
 1237.87  10620.03
  910.05  11142.01
  951.26  10763.93
  907.76  10259.88
  953.17  10933.66
  877.68  10820.81
 1025.23  10589.03
  973.66   7836.99
  562.64    492.13
  378.41    344.65
  657.36    974.58
  877.13   9116.26
 1042.40  10726.08
 1081.44   9757.66
 1080.35  10338.17
  940.47   9686.14
       p2p2       
 KB/s in  KB/s out
  849.92  10817.57
 1011.21  10219.96
  951.75   9997.52
 1205.45  10865.43
  891.60   9664.50
