       p2p2       
 KB/s in  KB/s out
 1150.10   1100.03
 1074.15    977.71
 1725.15   1320.64
 1622.18   1236.15
 1654.52   1276.37
 1540.58   1202.57
 1548.56   1094.91
       p2p2       
 KB/s in  KB/s out
 1188.35    745.25
  640.17    634.28
  441.70    365.88
  563.41    509.70
  743.57    701.29
  683.59    573.42
  695.49    648.96
  787.75    781.51
  716.38    658.72
  668.15    637.85
  867.01    817.22
  670.88    620.90
  749.31    666.71
  772.84    692.70
  892.74    807.59
  780.12    747.50
  883.42    731.56
  736.15    589.33
  849.29    749.41
 1068.66    947.09
  656.46    610.85
  783.39    707.84
       p2p2       
 KB/s in  KB/s out
  836.74    681.92
  703.82    663.29
  659.31    626.10
 1003.54    969.52
  617.16    497.00
  691.02    623.32
  791.72    746.74
  876.51    830.17
  818.49    736.19
  690.39    613.05
  856.93    731.65
  699.37    679.34
  649.84    605.00
  766.44    703.71
  775.13    677.50
  895.32    738.19
  735.75    699.22
  630.20    570.52
  706.26    667.86
  904.22    823.23
  810.97    705.35
  667.61    594.09
       p2p2       
 KB/s in  KB/s out
  733.29    644.16
  787.53    697.60
  823.67    733.56
  742.23    597.99
  907.87    800.86
  766.15    710.92
  735.18    643.55
  799.64    720.70
  691.36    613.89
  692.30    657.84
  618.37    599.79
  573.30    488.95
  831.05    691.71
  862.83    717.58
  788.56    705.39
  716.86    634.74
  854.50    710.93
  997.38    782.59
 1123.17    854.74
  772.08    648.77
  916.56    678.91
  895.54    659.08
       p2p2       
 KB/s in  KB/s out
  790.71    649.72
  762.08    724.22
  854.77    792.49
  784.54    692.30
  775.25    714.12
  634.11    555.04
  888.46    831.00
  690.02    653.16
  749.46    659.55
  614.14    565.26
  870.87    734.03
  768.69    686.19
  862.94    807.32
  718.31    644.62
  896.71    845.97
  806.82    756.03
  771.19    674.81
  750.38    688.69
  763.21    741.28
  770.86    758.04
  728.02    611.39
  786.25    692.97
       p2p2       
 KB/s in  KB/s out
  725.70    725.05
  821.87    833.12
  652.77    621.68
  914.23    806.86
  656.72    589.28
  741.56    689.48
  953.40    872.33
  783.20    652.02
  819.80    674.54
  721.88    615.63
  697.86    679.33
  954.74    886.63
  727.19    645.94
  788.25    676.81
  793.42    650.62
  726.50    680.90
  666.75    592.36
  890.80    789.35
  777.42    671.18
  820.65    721.78
  808.72    735.20
  934.07    845.52
       p2p2       
