       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  132995.4   5055.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  102415.3  49949.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  85499.13  181082.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  143326.9  75703.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  193365.0  39101.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  116698.8  159981.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  173194.3  69385.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  248287.3  150749.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00  102193.9  17951.80
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  157223.5  28278.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  87393.31  62876.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  221611.0  61985.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  243441.2  144994.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  242730.5  20621.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  355726.0  14110.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  181802.7  66956.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  109160.7  11739.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  127677.9    384.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  107014.8    686.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  96175.83    974.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  234535.4   1583.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  472994.9  10904.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  324802.8  10283.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  276651.6  18908.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  181935.6  17609.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  296244.5  25418.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  332254.7   1959.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  266859.4   2063.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00  311950.9   2202.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  220463.0    874.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  79034.75   4583.43
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  161921.9    766.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  152661.1    714.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  67385.62   1204.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  73984.72    710.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  182345.1   1713.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  241780.0  22602.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  101054.6   1628.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  85114.42  17948.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00  98479.34  35867.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  121423.3  53378.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  430602.2  17642.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  367138.7   9498.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  293286.8  25382.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  257234.7  22259.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  149831.3    896.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  105521.9  32797.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  51497.06    228.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  187672.7  31759.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  195628.0  21969.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  153456.2   9592.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  58203.82  43058.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  250646.4  87152.89
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  137897.3  133884.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  205654.8  79183.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  465870.8  335465.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  596246.6  21657.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  339841.0  65909.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  286699.2  22692.10
