       em4        
 KB/s in  KB/s out
 1546.05   1511.94
 1366.47   1378.06
 1746.30   1669.74
 1755.57   1724.23
 1563.62   1491.94
 1508.97   1539.42
 1410.28   1379.99
 1756.81   1710.97
 1600.65   1590.37
 1424.19   1422.60
 1258.32   1245.25
       em4        
 KB/s in  KB/s out
 1586.63   1511.20
 1635.86   1609.89
 1487.08   1500.22
 1337.44   1335.33
 1475.36   1448.09
 1272.62   1266.80
  986.26    985.78
 1483.11   1457.50
 1608.91   1582.22
 1486.38   1489.18
 1397.18   1355.00
 1550.98   1498.84
 1611.72   1591.32
 1466.71   1448.22
 1486.58   1489.72
 1519.70   1486.56
 1448.33   1448.41
 1376.80   1365.59
 1658.40   1599.91
 1580.66   1551.60
 1582.80   1563.20
 1272.36   1272.94
       em4        
 KB/s in  KB/s out
 1485.60   1465.37
 1643.20   1578.70
 1373.05   1389.08
 1280.75   1253.38
 1470.12   1441.40
 1461.70   1452.55
 1414.07   1424.47
 1330.60   1323.50
 1584.20   1541.11
 1416.17   1406.78
 1406.81   1404.43
 1316.91   1301.12
 1661.48   1619.44
 1468.17   1459.37
 1509.09   1492.47
 1389.91   1371.87
 1600.79   1566.97
 1572.74   1532.99
 1404.35   1399.94
 1618.80   1577.35
 1484.81   1477.98
 1457.89   1462.22
       em4        
 KB/s in  KB/s out
 1457.56   1435.77
 1503.00   1466.80
 1485.24   1478.39
 1565.99   1535.45
 1548.88   1480.31
 1414.10   1449.85
 1610.39   1592.39
 1383.38   1363.51
 1714.37   1640.26
 1510.55   1507.57
 1555.43   1531.84
 1872.12   1805.03
 1509.83   1487.64
 1658.76   1631.26
 1652.75   1612.52
 1771.30   1731.86
 1568.92   1576.29
 1667.19   1608.30
 1561.03   1594.39
 1472.38   1440.09
 1425.78   1418.48
 1480.36   1442.68
       em4        
 KB/s in  KB/s out
 1546.62   1518.20
 1573.46   1552.58
 1502.10   1465.59
 1545.22   1510.46
 1342.23   1364.53
 1394.93   1347.98
 1602.31   1584.40
 1411.65   1403.10
 1359.68   1360.56
 1441.13   1404.45
 1641.18   1585.58
 1309.64   1358.72
 1571.77   1546.18
 1426.56   1408.90
 1359.78   1356.78
 1423.60   1396.44
 1441.07   1422.83
 1580.04   1510.19
 1487.38   1542.86
 1481.13   1425.76
 1386.73   1402.98
 1406.55   1369.77
       em4        
 KB/s in  KB/s out
 1407.97   1406.60
 1465.15   1423.57
 1495.44   1502.29
 1470.30   1474.13
 1654.52   1581.60
 1459.67   1468.80
 1530.00   1477.15
 1624.46   1589.12
 1433.57   1410.57
 1416.52   1433.23
 1629.33   1607.07
 1477.89   1450.87
 1544.28   1543.66
 1383.93   1378.15
 1499.31   1481.99
 1439.43   1415.09
 1609.52   1586.72
 1566.74   1533.36
 1471.86   1443.88
 1588.35   1592.61
 1543.03   1431.96
 1539.61   1483.47
       em4        
 KB/s in  KB/s out
 1262.73   1193.22
  459.23    459.97
    0.18      0.00
    3.97     46.78
    3.22      0.88
    0.06      0.00
    0.06      0.00
    0.13      0.14
  206.07    346.40
 1414.79   1385.03
 1576.67   1548.48
 1783.62   1713.47
 1430.69   1444.90
 1558.20   1505.98
 1390.37   1387.75
 1742.25   1693.69
 1544.75   1511.19
 1572.87   1555.45
 1500.44   1476.48
 1323.74   1343.02
 1678.75   1625.27
 1383.60   1362.49
       em4        
 KB/s in  KB/s out
 1406.32   1380.50
 1740.82   1677.65
 1531.71   1551.17
 1327.76   1312.98
 1710.81   1646.36
 1490.74   1469.76
 1370.34   1398.46
 1617.02   1554.35
