Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

09:24:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:02 PM  all   56.53    0.00   29.59    1.15    0.00    5.87    0.00    0.00    0.00    6.85
09:24:03 PM  all   53.28    0.00   22.17    8.04    0.00    4.62    0.00    0.00    0.00   11.88
09:24:04 PM  all   53.57    0.00   20.96    8.35    0.00    4.17    0.00    0.00    0.00   12.95
09:24:05 PM  all   52.88    0.00   26.31    6.61    0.00    4.99    0.00    0.00    0.00    9.21
09:24:06 PM  all   31.87    0.00   14.74   21.21    0.00    2.42    0.00    0.00    0.00   29.75
09:24:07 PM  all   31.54    0.00   16.23   20.31    0.00    3.51    0.00    0.00    0.00   28.42
09:24:08 PM  all   35.38    0.00   15.04   17.95    0.00    2.65    0.00    0.00    0.00   28.98
09:24:09 PM  all   49.37    0.00   16.56    9.95    0.00    3.95    0.00    0.00    0.00   20.17
09:24:10 PM  all   32.21    0.00   15.82   23.49    0.00    2.85    0.00    0.00    0.00   25.64
09:24:11 PM  all   22.29    0.00   11.17   19.73    0.00    2.29    0.00    0.00    0.00   44.53
09:24:12 PM  all    9.52    0.00    6.66   16.54    0.04    1.48    0.00    0.00    0.00   65.76
09:24:13 PM  all    7.48    0.00    4.45    8.54    0.00    1.25    0.00    0.00    0.00   78.28
09:24:14 PM  all   22.79    0.00   10.00    4.86    0.00    2.61    0.00    0.00    0.00   59.73
09:24:15 PM  all   19.79    0.00    9.15    5.14    0.00    2.61    0.00    0.00    0.00   63.30
09:24:16 PM  all   35.76    0.00   15.91   11.89    0.00    3.04    0.00    0.00    0.00   33.39
09:24:17 PM  all   46.89    0.00   20.33   12.18    0.04    3.68    0.00    0.00    0.00   16.87
09:24:18 PM  all   28.38    0.00   17.41   21.33    0.00    3.04    0.00    0.00    0.00   29.84
09:24:19 PM  all   34.35    0.00   13.83   15.94    0.00    2.51    0.00    0.00    0.00   33.38
09:24:20 PM  all   25.39    0.00   10.86   25.84    0.04    2.50    0.00    0.00    0.00   35.36
09:24:21 PM  all   35.21    0.00   17.61   15.71    0.00    2.90    0.00    0.00    0.00   28.57
09:24:22 PM  all   42.12    0.00   20.04   14.44    0.00    3.62    0.00    0.00    0.00   19.78
09:24:23 PM  all   34.49    0.00   14.78   17.76    0.00    3.12    0.00    0.00    0.00   29.86
09:24:24 PM  all   29.26    0.00   14.05   25.47    0.04    2.90    0.00    0.00    0.00   28.28
09:24:25 PM  all   34.33    0.00   14.68   21.51    0.00    3.13    0.00    0.00    0.00   26.36
09:24:26 PM  all   35.15    0.00   13.85   15.63    0.04    2.68    0.00    0.00    0.00   32.65
