Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdp               0.00     3.00    0.00   34.00     0.00 21340.00  1255.29     4.82  149.65    0.00  149.65  27.41  93.20
sdr               0.00     1.00    0.00   69.00     0.00 31252.00   905.86     0.59    8.58    0.00    8.58   4.52  31.20
sds               0.00    77.00    8.00  412.00    64.00 13380.50    64.02     0.45    1.08   15.00    0.81   0.58  24.40
sdt               0.00     6.00    0.00   44.00     0.00 27064.00  1230.18     2.20   50.00    0.00   50.00  12.00  52.80
sdq               0.00     0.00    0.00   26.00     0.00 12488.00   960.62     1.39   62.31    0.00   62.31  19.08  49.60
sdv               0.00     0.00    0.00   41.00     0.00 19256.00   939.32     0.33    8.00    0.00    8.00   4.88  20.00
sdw               0.00    78.00    4.00  449.00    32.00 16148.50    71.44     0.91    2.01   21.00    1.84   0.45  20.40
sdu               0.00    11.00    0.00   55.00     0.00 38232.00  1390.25     1.53   26.55    0.00   26.55   8.51  46.80
sdy               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.00   28.00     0.00 13012.00   929.43     0.22    7.71    0.00    7.71   5.43  15.20
sdz               0.00    15.00    0.00   13.00     0.00   808.00   124.31     0.15   11.38    0.00   11.38  10.15  13.20
dm-0              0.00     0.00    0.00   28.00     0.00   808.00    57.71     0.31   11.14    0.00   11.14   4.71  13.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          22.69    0.00   12.38    5.02    0.00   59.91

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    4.00     0.00   532.00   266.00     0.04   10.00    0.00   10.00  10.00   4.00
sdb               0.00     3.00    0.00   34.00     0.00 19252.00  1132.47     2.86   84.12    0.00   84.12  16.35  55.60
sdc               0.00     0.00    0.00   28.00     0.00 13012.00   929.43     0.52   18.57    0.00   18.57   6.14  17.20
sdd               0.00     0.00    0.00   19.00     0.00  8332.00   877.05     0.17    8.63    0.00    8.63   6.95  13.20
sde               0.00     1.00    0.00   24.00     0.00 10164.00   847.00     0.24    9.67    0.00    9.67   5.17  12.40
sdf               0.00   110.00   12.00  626.00    96.00  4902.00    15.67     0.71    0.87   15.00    0.59   0.50  32.00
sdg               0.00    17.00    0.00   82.00     0.00 99616.00  2429.66    16.83  725.41    0.00  725.41  11.76  96.40
sdh               0.00   114.00   15.00  634.00   120.00 28249.00    87.42     2.42    3.37   22.13    2.92   1.05  68.00
sdi               0.00    25.00    6.00  116.00    48.00  6041.50    99.83     0.33    2.72   23.33    1.66   2.16  26.40
sdl               0.00     1.00    2.00   28.00    16.00 14828.00   989.60     0.44   14.80   12.00   15.00   6.53  19.60
sdj               0.00     1.00    0.00    9.00     0.00  4168.00   926.22     0.10   11.11    0.00   11.11   9.78   8.80
sdk               0.00     0.00    1.00   17.00     8.00  7280.00   809.78     0.33   18.22   12.00   18.59   7.33  13.20
sdm               0.00     2.00    0.00   15.00     0.00  8324.00  1109.87     0.22   14.40    0.00   14.40   5.60   8.40
sdo               0.00    81.00    4.00  470.00    32.00 11933.00    50.49     2.19    4.62   42.00    4.30   0.77  36.40
sdn               0.00     2.00    0.00   12.00     0.00  7816.00  1302.67     0.75   26.00    0.00   26.00  22.33  26.80
sdp               0.00     5.00    1.00   32.00     8.00 16656.00  1009.94     3.36  100.24  204.00   97.00  19.52  64.40
sdr               0.00    86.00    4.00  618.00    32.00 22777.00    73.34     1.90    2.85   40.00    2.61   0.75  46.40
sds               0.00     3.00    0.00   22.00     0.00 12224.00  1111.27     1.46   62.73    0.00   62.73  13.45  29.60
sdt               0.00    11.00    0.00   28.00     0.00 24000.00  1714.29     2.80   88.00    0.00   88.00  32.29  90.40
sdq               0.00     0.00    0.00    5.00     0.00   536.00   214.40     0.02    4.00    0.00    4.00   4.00   2.00
sdv               0.00     4.00    0.00   38.00     0.00 20252.00  1065.89     0.72   18.84    0.00   18.84   6.53  24.80
sdw               0.00     0.00    1.00    4.00     4.00  1048.00   420.80     0.58   43.20   36.00   45.00  20.00  10.00
sdu               0.00     4.00    0.00   18.00     0.00 13912.00  1545.78     0.53   31.11    0.00   31.11  12.00  21.60
sdy               0.00     1.00    0.00   26.00     0.00 13264.00  1020.31     0.60   23.08    0.00   23.08   7.54  19.60
sdx               0.00    14.00    0.00   73.00     0.00 45996.00  1260.16     2.14   28.33    0.00   28.33   7.34  53.60
sdz               0.00    13.00    0.00   12.00     0.00   392.00    65.33     0.12    9.67    0.00    9.67   9.67  11.60
dm-0              0.00     0.00    0.00   25.00     0.00   392.00    31.36     0.24    9.44    0.00    9.44   4.64  11.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          35.29    0.00   20.08   11.81    0.00   32.83

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     8.00    2.00   56.00    16.00 30540.00  1053.66     1.11   16.34   40.00   15.50   7.10  41.20
sdb               0.00     9.00    0.00   53.00     0.00 37960.00  1432.45     1.67   31.55    0.00   31.55  11.17  59.20
sdc               0.00     6.00    0.00   39.00     0.00 21480.00  1101.54     0.50   12.31    0.00   12.31   7.18  28.00
sdd               0.00    16.00    0.00   87.00     0.00 56104.00  1289.75     2.14   24.28    0.00   24.28   7.03  61.20
sde               0.00    24.00    0.00  104.00     0.00 70044.00  1347.00     2.68   25.42    0.00   25.42   6.88  71.60
sdf               0.00     7.00    0.00   53.00     0.00 30080.00  1135.09     2.82   55.92    0.00   55.92  12.38  65.60
sdg               0.00    16.00    0.00   63.00     0.00 42820.00  1359.37     4.87   77.33    0.00   77.33  12.57  79.20
sdh               0.00    22.00    0.00   62.00     0.00 56044.00  1807.87     6.24  103.81    0.00  103.81  15.87  98.40
sdi               0.00    96.00    0.00  553.00     0.00 49360.50   178.52     4.15    7.30    0.00    7.30   1.64  90.80
sdl               0.00    75.00    8.00  489.00    64.00 55162.50   222.24     3.62    7.08   19.00    6.89   1.81  90.00
sdj               0.00    64.00    9.00  434.00    72.00 21941.50    99.38     1.24    2.67   21.78    2.28   0.92  40.80
sdk               0.00   102.00    3.00  566.00    24.00 13610.50    47.92     2.38    4.19   17.33    4.12   0.68  38.80
sdm               0.00     3.00    0.00   39.00     0.00 19196.00   984.41     0.58   13.23    0.00   13.23   7.18  28.00
sdo               0.00     3.00    0.00   19.00     0.00 11968.00  1259.79     2.36  124.63    0.00  124.63  25.47  48.40
sdn               0.00    14.00    0.00   68.00     0.00 45496.00  1338.12     5.13   81.88    0.00   81.88  12.47  84.80
sdp               0.00    20.00    0.00   60.00     0.00 50836.00  1694.53     2.95   49.60    0.00   49.60  16.40  98.40
sdr               0.00     6.00    0.00   28.00     0.00 20884.00  1491.71     2.26   85.29    0.00   85.29  21.00  58.80
sds               0.00     8.00    0.00   48.00     0.00 32264.00  1344.33     2.80   59.83    0.00   59.83  16.08  77.20
sdt               0.00    11.00    0.00   46.00     0.00 37412.00  1626.61     4.26   99.30    0.00   99.30  16.87  77.60
sdq               0.00     0.00    0.00   26.00     0.00 11192.00   860.92     0.16    6.15    0.00    6.15   4.31  11.20
sdv               0.00   130.00   11.00  749.00    88.00 62442.00   164.55     3.08    4.00   34.91    3.55   1.26  96.00
sdw               0.00     3.00    0.00   29.00     0.00 15616.00  1076.97     1.28   56.28    0.00   56.28  20.14  58.40
sdu               0.00    14.00    6.00   60.00    48.00 43876.00  1331.03     1.43   19.76   28.67   18.87   9.88  65.20
sdy               0.00     0.00    0.00   19.00     0.00  7556.00   795.37     0.16    7.58    0.00    7.58   5.89  11.20
sdx               0.00    12.00    0.00   51.00     0.00 38660.00  1516.08     1.20   24.63    0.00   24.63   9.41  48.00
sdz               0.00     8.00    0.00    6.00     0.00   104.00    34.67     0.06    9.33    0.00    9.33   9.33   5.60
dm-0              0.00     0.00    0.00   14.00     0.00   104.00    14.86     0.12    8.57    0.00    8.57   4.00   5.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          45.89    0.00   22.81   13.29    0.00   18.01

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00   109.00    1.00  667.00     8.00 65732.00   196.83    10.63   16.08   68.00   16.01   1.41  94.00
sdb               0.00     8.00    1.00   42.00     8.00 29684.00  1381.02     1.39   30.98   20.00   31.24  12.00  51.60
sdc               0.00   156.00    7.00  749.00    56.00 61673.50   163.31     3.43    4.43   26.29    4.22   1.15  86.80
sdd               0.00   141.00    5.00  821.00    40.00 77292.50   187.25     6.27    7.40  107.20    6.80   1.21 100.00
sde               0.00   126.00    8.00  695.00    64.00 55053.50   156.81     4.33    5.89   67.00    5.19   1.29  90.40
sdf               0.00     9.00    0.00   53.00     0.00 34836.00  1314.57     1.65   28.23    0.00   28.23  12.23  64.80
sdg               0.00    16.00    0.00   76.00     0.00 49632.00  1306.11     3.30   41.58    0.00   41.58  11.21  85.20
sdh               0.00    28.00    0.00   80.00     0.00 64728.00  1618.20     4.61   53.20    0.00   53.20  12.30  98.40
sdi               0.00    20.00    0.00   81.00     0.00 59084.00  1458.86     3.96   49.19    0.00   49.19  11.85  96.00
sdl               0.00    14.00    0.00   39.00     0.00 36556.00  1874.67     1.60   39.18    0.00   39.18  16.92  66.00
sdj               0.00    22.00    0.00   90.00     0.00 65844.00  1463.20     4.20   47.02    0.00   47.02  10.04  90.40
sdk               0.00     9.00    0.00   68.00     0.00 40644.00  1195.41     2.02   27.88    0.00   27.88   9.94  67.60
sdm               0.00     7.00    0.00   33.00     0.00 23488.00  1423.52     1.07   31.39    0.00   31.39  10.55  34.80
sdo               0.00     7.00    0.00   55.00     0.00 32060.00  1165.82     2.10   37.45    0.00   37.45  13.38  73.60
sdn               0.00    10.00    0.00   47.00     0.00 31980.00  1360.85     1.98   39.91    0.00   39.91  15.06  70.80
sdp               0.00    45.00    4.00  285.00    28.00 53222.50   368.52     4.07   13.59   55.00   13.01   2.98  86.00
sdr               0.00    19.00    0.00   87.00     0.00 58928.00  1354.67     3.51   34.11    0.00   34.11   8.60  74.80
sds               0.00    31.00    0.00  101.00     0.00 77544.00  1535.52     5.46   53.35    0.00   53.35   9.90 100.00
sdt               0.00    15.00    0.00   76.00     0.00 56228.00  1479.68     2.64   35.11    0.00   35.11  10.58  80.40
sdq               0.00     9.00    0.00   55.00     0.00 35400.00  1287.27     1.30   23.42    0.00   23.42   9.24  50.80
sdv               0.00    17.00    3.00   88.00    12.00 62484.00  1373.54     3.80   40.62   30.67   40.95   9.89  90.00
sdw               0.00     7.00    0.00   47.00     0.00 29208.00  1242.89     1.30   28.00    0.00   28.00  11.15  52.40
sdu               0.00   108.00    3.00  554.00    24.00 68095.00   244.59     4.35    7.72   78.67    7.34   1.75  97.20
sdy               0.00     5.00    1.00   54.00     4.00 30072.00  1093.67     1.18   20.80   12.00   20.96   7.85  43.20
sdx               0.00    21.00   14.00   91.00   108.00 65784.00  1255.09     4.83   44.95   64.57   41.93   9.49  99.60
sdz               0.00     8.00    0.00    6.00     0.00   120.00    40.00     0.06   10.67    0.00   10.67  10.67   6.40
dm-0              0.00     0.00    0.00   14.00     0.00   120.00    17.14     0.17   12.29    0.00   12.29   4.57   6.40
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          27.42    0.00   19.79   21.52    0.00   31.28

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     8.00    0.00   17.00     0.00 18412.00  2166.12     5.30  262.35    0.00  262.35  58.59  99.60
sdb               0.00     9.00    0.00   31.00     0.00 22224.00  1433.81     3.80   66.45    0.00   66.45  31.61  98.00
sdc               0.00    15.00    0.00   46.00     0.00 37548.00  1632.52     7.76  139.74    0.00  139.74  21.74 100.00
sdd               0.00     5.00    0.00   29.00     0.00 17876.00  1232.83     4.21  120.83    0.00  120.83  34.48 100.00
sde               0.00     6.00    0.00   21.00     0.00 17560.00  1672.38     5.54  245.14    0.00  245.14  47.43  99.60
sdf               0.00    11.00    0.00   39.00     0.00 30972.00  1588.31     5.77  142.67    0.00  142.67  25.64 100.00
sdg               0.00    12.00    0.00   39.00     0.00 33544.00  1720.21     7.67  140.62    0.00  140.62  25.64 100.00
sdh               0.00    14.00    0.00   44.00     0.00 34712.00  1577.82     8.15  138.55    0.00  138.55  22.73 100.00
sdi               0.00     5.00    0.00   25.00     0.00 16008.00  1280.64     5.20  132.80    0.00  132.80  40.00 100.00
sdl               0.00     9.00    0.00   15.00     0.00 16844.00  2245.87     5.82  317.60    0.00  317.60  66.67 100.00
sdj               0.00     7.00    0.00   28.00     0.00 19452.00  1389.43     6.70  142.29    0.00  142.29  35.71 100.00
sdk               0.00    10.00    0.00   28.00     0.00 26864.00  1918.86     9.93  300.71    0.00  300.71  35.71 100.00
sdm               0.00     6.00    0.00   35.00     0.00 25544.00  1459.66     3.08   90.74    0.00   90.74  22.06  77.20
sdo               0.00     7.00    0.00   20.00     0.00 17556.00  1755.60     4.70  174.80    0.00  174.80  47.20  94.40
sdn               0.00    10.00    0.00   26.00     0.00 22752.00  1750.15     5.67  206.00    0.00  206.00  38.46 100.00
sdp               0.00    10.00    0.00   37.00     0.00 30028.00  1623.14     8.67  152.86    0.00  152.86  26.92  99.60
sdr               0.00    49.00    0.00  283.00     0.00 29293.00   207.02     8.56   24.75    0.00   24.75   3.53 100.00
sds               0.00    15.00    0.00   32.00     0.00 29052.00  1815.75     5.58  116.62    0.00  116.62  31.00  99.20
sdt               0.00    26.00    1.00   42.00     8.00 33956.00  1579.72    46.18  127.26  152.00  126.67  21.30  91.60
sdq               0.00     4.00    0.00   19.00     0.00 11644.00  1225.68     4.74  125.47    0.00  125.47  42.53  80.80
sdv               0.00     6.00    0.00   29.00     0.00 21484.00  1481.66     7.06  165.79    0.00  165.79  34.48 100.00
sdw               0.00     9.00    0.00   27.00     0.00 21196.00  1570.07     3.07   82.67    0.00   82.67  25.78  69.60
sdu               0.00     6.00    0.00   30.00     0.00 24256.00  1617.07     6.98  157.73    0.00  157.73  33.33 100.00
sdy               0.00     4.00    0.00   28.00     0.00 20124.00  1437.43     3.04   96.57    0.00   96.57  31.43  88.00
sdx               0.00    77.00    3.00  668.00    24.00  5347.00    16.01    66.06   93.26   64.00   93.39   1.48  99.20
sdz               0.00    13.00    0.00   12.00     0.00   540.00    90.00     0.14   11.67    0.00   11.67  11.67  14.00
dm-0              0.00     0.00    0.00   25.00     0.00   540.00    43.20     0.30   12.16    0.00   12.16   5.60  14.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          34.92    0.00   16.49   16.58    0.00   32.01

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    15.00    0.00   40.00     0.00 32636.00  1631.80    10.26  234.90    0.00  234.90  25.00 100.00
sdb               0.00    10.00    0.00   27.00     0.00 29456.00  2181.93     8.38  332.30    0.00  332.30  37.04 100.00
sdc               0.00    13.00    0.00   30.00     0.00 24352.00  1623.47     8.63  276.27    0.00  276.27  33.33 100.00
sdd               0.00     8.00    0.00   31.00     0.00 20400.00  1316.13     6.71  214.84    0.00  214.84  32.13  99.60
sde               0.00     7.00    0.00   24.00     0.00 20688.00  1724.00     5.80  229.00    0.00  229.00  41.67 100.00
sdf               0.00     2.00    0.00   15.00     0.00  9812.00  1308.27     4.40  239.20    0.00  239.20  64.00  96.00
sdg               0.00    84.00    2.00  331.00    16.00 36978.50   222.19    61.21  113.57   94.00  113.69   3.00 100.00
sdh               0.00    11.00    0.00   26.00     0.00 23012.00  1770.15    12.04  405.85    0.00  405.85  38.46 100.00
sdi               0.00    22.00    0.00   44.00     0.00 41228.00  1874.00     8.81  220.82    0.00  220.82  22.73 100.00
sdl               0.00    12.00    0.00   37.00     0.00 32632.00  1763.89    10.28  293.08    0.00  293.08  27.03 100.00
sdj               0.00    14.00    0.00   33.00     0.00 27204.00  1648.73     9.40  301.33    0.00  301.33  30.30 100.00
sdk               0.00    20.00    0.00   40.00     0.00 33764.00  1688.20    10.89  257.80    0.00  257.80  25.00 100.00
sdm               0.00     2.00    0.00   21.00     0.00 12676.00  1207.24     5.78  216.76    0.00  216.76  47.62 100.00
sdo               0.00    15.00    0.00   33.00     0.00 28224.00  1710.55     7.60  242.06    0.00  242.06  30.30 100.00
sdn               0.00     5.00    0.00   23.00     0.00 20608.00  1792.00     3.74  166.26    0.00  166.26  43.30  99.60
sdp               0.00    24.00    1.00   48.00     8.00 43788.00  1787.59    10.59  259.59  196.00  260.92  20.41 100.00
sdr               0.00    22.00    0.00   43.00     0.00 40712.00  1893.58     9.92  236.65    0.00  236.65  23.26 100.00
sds               0.00    10.00    0.00   44.00     0.00 41424.00  1882.91     9.53  238.18    0.00  238.18  22.73 100.00
sdt               0.00    36.00    0.00  291.00     0.00 43762.50   300.77    81.79  419.29    0.00  419.29   3.44 100.00
sdq               0.00     2.00    0.00   23.00     0.00 16508.00  1435.48     6.84  379.83    0.00  379.83  43.48 100.00
sdv               0.00    17.00    0.00   41.00     0.00 33956.00  1656.39    10.42  260.68    0.00  260.68  24.39 100.00
sdw               0.00    17.00    0.00   29.00     0.00 29024.00  2001.66     7.83  248.41    0.00  248.41  34.48 100.00
sdu               0.00    17.00    0.00   31.00     0.00 30828.00  1988.90     9.66  377.29    0.00  377.29  32.26 100.00
sdy               0.00    71.00    4.00  179.00    32.00 14918.00   163.39    45.30   95.56  235.00   92.45   5.46 100.00
sdx               0.00    14.00    0.00   36.00     0.00 33680.00  1871.11     9.03  320.78    0.00  320.78  27.78 100.00
sdz               0.00    18.00    0.00   13.00     0.00   916.00   140.92     0.15   11.38    0.00   11.38  10.46  13.60
dm-0              0.00     0.00    0.00   31.00     0.00   916.00    59.10     0.33   10.58    0.00   10.58   4.39  13.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          23.82    0.00   12.84   25.24    0.00   38.09

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     8.00    1.00   32.00     8.00 26684.00  1617.70    11.47  248.00  400.00  243.25  30.30 100.00
sdb               0.00    11.00    0.00   37.00     0.00 24648.00  1332.32    10.99  188.54    0.00  188.54  27.03 100.00
sdc               0.00     3.00    0.00   25.00     0.00 24576.00  1966.08     8.69  284.64    0.00  284.64  40.00 100.00
sdd               0.00     7.00    0.00   24.00     0.00 17820.00  1485.00     8.45  256.67    0.00  256.67  41.67 100.00
sde               0.00     8.00    0.00   27.00     0.00 18872.00  1397.93     8.09  220.44    0.00  220.44  37.04 100.00
sdf               0.00    14.00    0.00   35.00     0.00 27768.00  1586.74     8.93  176.69    0.00  176.69  28.57 100.00
sdg               0.00    14.00    0.00  168.00     0.00 27863.00   331.70    32.81  314.40    0.00  314.40   5.95 100.00
sdh               0.00    15.00    0.00   48.00     0.00 40464.00  1686.00    11.05  228.83    0.00  228.83  20.83 100.00
sdi               0.00     4.00    0.00   19.00     0.00 13712.00  1443.37     9.13  248.42    0.00  248.42  52.63 100.00
sdl               0.00     4.00    0.00   17.00     0.00 18340.00  2157.65     6.39  234.12    0.00  234.12  58.35  99.20
sdj               0.00     9.00    0.00   28.00     0.00 30244.00  2160.29     7.74  240.14    0.00  240.14  35.71 100.00
sdk               0.00    11.00    0.00   36.00     0.00 35508.00  1972.67     9.46  235.22    0.00  235.22  27.78 100.00
sdm               0.00     7.00    0.00   22.00     0.00 20152.00  1832.00     6.57  213.09    0.00  213.09  45.45 100.00
sdo               0.00    12.00    0.00   35.00     0.00 28544.00  1631.09     7.65  187.54    0.00  187.54  28.57 100.00
sdn               0.00     4.00    0.00   17.00     0.00 10072.00  1184.94     6.04  191.76    0.00  191.76  58.59  99.60
sdp               0.00    12.00    0.00   32.00     0.00 26720.00  1670.00    11.24  216.50    0.00  216.50  31.25 100.00
sdr               0.00     6.00    0.00   21.00     0.00 17624.00  1678.48    10.04  315.62    0.00  315.62  47.62 100.00
sds               0.00    10.00    0.00   20.00     0.00 17844.00  1784.40     8.85  243.20    0.00  243.20  50.00 100.00
sdt               0.00    11.00    0.00   31.00     0.00 29536.00  1905.55    11.38  217.29    0.00  217.29  32.26 100.00
sdq               0.00     5.00    0.00   19.00     0.00 13404.00  1410.95     6.50  216.00    0.00  216.00  52.63 100.00
sdv               0.00    10.00    0.00   27.00     0.00 24336.00  1802.67    10.97  300.30    0.00  300.30  37.04 100.00
sdw               0.00     5.00    0.00   19.00     0.00 17088.00  1798.74     6.13  241.26    0.00  241.26  52.63 100.00
sdu               0.00     2.00    0.00   22.00     0.00 17288.00  1571.64     4.53  209.45    0.00  209.45  45.27  99.60
sdy               0.00    39.00    0.00  329.00     0.00 19414.00   118.02    52.44  236.66    0.00  236.66   3.03  99.60
sdx               0.00    12.00    1.00   23.00     8.00 24580.00  2049.00     9.69  286.00  260.00  287.13  41.67 100.00
sdz               0.00    18.00    0.00   12.00     0.00   196.00    32.67     0.12   10.00    0.00   10.00  10.00  12.00
dm-0              0.00     0.00    0.00   30.00     0.00   196.00    13.07     0.34   11.20    0.00   11.20   4.00  12.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          38.17    0.00   22.03   14.64    0.00   25.15

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    19.00    0.00   52.00     0.00 46228.00  1778.00    10.63  286.69    0.00  286.69  19.23 100.00
sdb               0.00     9.00    0.00   51.00     0.00 37060.00  1453.33    10.06  278.82    0.00  278.82  19.61 100.00
sdc               0.00    21.00    0.00   41.00     0.00 39156.00  1910.05     9.42  289.95    0.00  289.95  24.39 100.00
sdd               0.00    18.00    0.00   45.00     0.00 42284.00  1879.29    10.06  282.58    0.00  282.58  22.22 100.00
sde               0.00    14.00    0.00   33.00     0.00 27556.00  1670.06     7.54  290.55    0.00  290.55  30.30 100.00
sdf               0.00    14.00    3.00   45.00    24.00 36548.00  1523.83     9.80  269.75  206.67  273.96  20.83 100.00
sdg               0.00    25.00    0.00   42.00     0.00 43524.00  2072.57    10.12  351.81    0.00  351.81  23.81 100.00
sdh               0.00    19.00    1.00   44.00     8.00 38632.00  1717.33    10.59  285.51  288.00  285.45  22.22 100.00
sdi               0.00    15.00    0.00   53.00     0.00 42480.00  1603.02    11.71  300.60    0.00  300.60  18.87 100.00
sdl               0.00    10.00    0.00   32.00     0.00 26636.00  1664.75     6.86  280.50    0.00  280.50  31.25 100.00
sdj               0.00    19.00    0.00   41.00     0.00 37592.00  1833.76     8.63  275.02    0.00  275.02  24.39 100.00
sdk               0.00    45.00    2.00  189.00    16.00 23831.50   249.71    52.48  242.16  190.00  242.71   5.24 100.00
sdm               0.00    13.00    0.00   42.00     0.00 30304.00  1443.05     9.91  272.76    0.00  272.76  23.81 100.00
sdo               0.00     2.00    0.00   24.00     0.00 16244.00  1353.67     4.75  273.00    0.00  273.00  41.67 100.00
sdn               0.00    48.00    1.00  204.00     8.00 37134.00   362.36    55.48  245.85  204.00  246.06   4.88 100.00
sdp               0.00    20.00    0.00   39.00     0.00 37528.00  1924.51     8.12  327.59    0.00  327.59  25.64 100.00
sdr               0.00    12.00    0.00   41.00     0.00 32688.00  1594.54    10.29  348.98    0.00  348.98  24.39 100.00
sds               0.00     8.00    0.00   36.00     0.00 27700.00  1538.89     7.80  338.78    0.00  338.78  27.89 100.40
sdt               0.00    18.00    1.00   47.00     4.00 39672.00  1653.17    11.21  308.67  164.00  311.74  20.92 100.40
sdq               0.00    26.00    2.00  197.00    16.00 28822.50   289.83    42.30  221.41  224.00  221.38   5.05 100.40
sdv               0.00    19.00    0.00   40.00     0.00 35564.00  1778.20     8.80  309.00    0.00  309.00  25.10 100.40
sdw               0.00    13.00    0.00   43.00     0.00 37584.00  1748.09     8.89  268.09    0.00  268.09  23.35 100.40
sdu               0.00     9.00    0.00   22.00     0.00 15216.00  1383.27     5.13  219.27    0.00  219.27  45.64 100.40
sdy               0.00    10.00    1.00   35.00     8.00 26932.00  1496.67     8.50  282.56  116.00  287.31  27.89 100.40
sdx               0.00     9.00    0.00   30.00     0.00 25612.00  1707.47     5.91  326.53    0.00  326.53  33.20  99.60
sdz               0.00    11.00    0.00    6.00     0.00   132.00    44.00     0.06   10.67    0.00   10.67  10.67   6.40
dm-0              0.00     0.00    0.00   17.00     0.00   132.00    15.53     0.20   11.53    0.00   11.53   3.76   6.40
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          41.60    0.00   23.22   14.98    0.00   20.20

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    21.00    0.00   44.00     0.00 40192.00  1826.91    10.38  236.91    0.00  236.91  22.73 100.00
sdb               0.00     9.00    0.00   45.00     0.00 33656.00  1495.82    10.50  236.44    0.00  236.44  22.22 100.00
sdc               0.00    13.00    1.00   37.00     8.00 29524.00  1554.32    10.57  264.53  232.00  265.41  26.32 100.00
sdd               0.00    14.00    0.00   46.00     0.00 40192.00  1747.48    11.64  252.17    0.00  252.17  21.74 100.00
sde               0.00    24.00    0.00   44.00     0.00 43848.00  1993.09    10.09  232.09    0.00  232.09  22.73 100.00
sdf               0.00    41.00    1.00  293.00     8.00 25984.50   176.82    65.69  219.85  180.00  219.99   3.40 100.00
