       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1381.82    813.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1932.28   1539.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1355.62   1078.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1614.28   1474.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1227.56    487.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1548.97   1520.28
    0.00      0.00      0.00      0.00      0.00      0.00      1.06      0.00      0.00      0.00   1568.94   1266.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1722.89   1693.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1500.90    902.53
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00   1490.02   1713.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1456.77   1458.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1570.37   1417.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1341.90   1110.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1471.47   1618.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1514.55   1571.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1706.51   1195.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1650.02    802.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1349.44   1047.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1420.57   1124.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1389.42   1403.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1473.21   1218.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1691.47   1430.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1312.11    974.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1791.64   1549.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1525.41   1469.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1773.90   1553.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1616.03   1530.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1792.73   1395.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1611.77   1010.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   2047.63   2065.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1646.44   1123.73
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1636.71   1139.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1582.82   1569.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   1412.98   1410.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1499.25   1322.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1445.46   1254.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1606.21   1713.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1690.03   1552.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1777.98   1518.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1724.37   1182.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1431.70    903.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1215.29    773.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1489.05   1350.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1565.39   1451.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1464.51    784.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1541.57   1350.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1263.74    918.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1457.63   1013.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1295.77   1240.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   1536.90   1357.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1622.97   1660.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1454.63    810.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1643.18   1228.79
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2050.72   1312.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1416.14    885.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1775.38   1569.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1265.43    925.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1689.81   1041.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1557.60    919.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1777.93   1214.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1570.59   1632.98
