Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w6-s22-16m-16t-1,write,440,7208960000,16,2127.69,152.18,2140,2950,3570,4090,4970,5750,7.51,123027201.51,96.7%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s23-16m-32t-1,write,433,7094272000,32,4268.62,137.82,4490,5860,6850,7710,9680,11960,7.5,122811667.4,98.63%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s24-16m-64t-1,write,415,6799360000,64,8527.44,176.55,8800,11800,14110,16290,18820,25050,7.51,123062068.39,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s25-16m-128t-1,write,384,6291456000,128,16955.54,229.52,17520,21720,24400,27050,30360,36360,7.54,123575635.19,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s26-64m-1t-1,write,27,1769472000,1,2196.11,483.52,2220,2430,2720,2720,2910,3270,0.46,29840835.12,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w6-s27-64m-4t-1,write,104,6815744000,4,2215.86,560.25,2160,2390,2780,3260,3990,7850,1.8,118226648.88,97.2%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w6-s28-64m-16t-1,write,105,6881280000,16,8462.1,146.92,8680,10740,11640,13090,20500,21000,1.89,124081398.33,98.13%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w6-s29-64m-32t-1,write,96,6291456000,32,15650.45,128.91,15980,21920,31290,33770,37540,39920,2.12,138795404.24,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w6-s30-64m-64t-1,write,81,5308416000,64,32560.6,162.72,35540,37860,38670,39580,44320,46460,1.93,126633501.27,98.78%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w6-s31-64m-128t-1,write,56,3670016000,128,54884.02,166.84,56270,57650,58830,59430,59740,59920,1.02,67164100.39,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
w7-s1-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-300)
w8-s1-cleanup-1,cleanup-delete,5050,0,1,18.4,18.4,20,20,30,40,90,1290,54.31,0,100%,100% cprefix=dsswritebench containers=r(1-50) objects=r(300-400) cprefix=dsswritebench containers=r(1-50) objects=r(300-400) cprefix=dsswritebench containers=r(1-50) objects=r(300-400) deleteContainer=false cprefix=dsswritebench containers=r(1-50) objects=r(300-400)
w8-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-300)
w9-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-50)
