Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s16-1m-4t,write,write,4549,4658176000,105.31,95.93,110,120,130,140,190,780,37.93,38841428.49,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:55:07,submitting @ 2015-10-26 20:55:07,authing @ 2015-10-26 20:55:07,launching @ 2015-10-26 20:55:07,running @ 2015-10-26 20:55:07,closing @ 2015-10-26 20:57:07,completed @ 2015-10-26 20:57:07
s17-1m-16t,write,write,12508,12808192000,153.27,144.73,160,170,190,210,330,2040,104.3,106805974.49,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:57:10,submitting @ 2015-10-26 20:57:10,authing @ 2015-10-26 20:57:10,launching @ 2015-10-26 20:57:10,running @ 2015-10-26 20:57:10,closing @ 2015-10-26 20:59:10,completed @ 2015-10-26 20:59:10
s18-1m-32t,write,write,14663,15014912000,261.56,252.89,260,290,330,390,910,2650,122.28,125218663.6,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:59:13,submitting @ 2015-10-26 20:59:13,authing @ 2015-10-26 20:59:13,launching @ 2015-10-26 20:59:13,running @ 2015-10-26 20:59:13,closing @ 2015-10-26 21:01:13,completed @ 2015-10-26 21:01:13
s19-1m-64t,write,write,16652,17051648000,460.39,451.48,460,530,600,710,1270,3350,138.97,142304020.5,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:01:16,submitting @ 2015-10-26 21:01:16,authing @ 2015-10-26 21:01:16,launching @ 2015-10-26 21:01:16,running @ 2015-10-26 21:01:16,closing @ 2015-10-26 21:03:21,completed @ 2015-10-26 21:03:21
s20-1m-128t,write,write,17353,17769472000,877.14,867.97,890,980,1080,1290,2030,8780,145.9,149404854.85,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:03:24,submitting @ 2015-10-26 21:03:24,authing @ 2015-10-26 21:03:24,launching @ 2015-10-26 21:03:24,running @ 2015-10-26 21:03:25,closing @ 2015-10-26 21:05:30,completed @ 2015-10-26 21:05:30
s21-16m-1t,write,write,519,8503296000,230.86,145.66,240,250,260,280,330,820,4.33,70921082.92,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:05:32,submitting @ 2015-10-26 21:05:32,authing @ 2015-10-26 21:05:32,launching @ 2015-10-26 21:05:32,running @ 2015-10-26 21:05:32,closing @ 2015-10-26 21:07:33,completed @ 2015-10-26 21:07:33
s22-16m-4t,write,write,1181,19349504000,405.87,305.33,390,490,630,740,980,1240,9.85,161417509.48,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:07:35,submitting @ 2015-10-26 21:07:35,authing @ 2015-10-26 21:07:35,launching @ 2015-10-26 21:07:35,running @ 2015-10-26 21:07:35,closing @ 2015-10-26 21:09:36,completed @ 2015-10-26 21:09:36
s23-16m-16t,write,write,2448,40108032000,780.34,667.79,790,970,1120,1240,1560,2060,20.5,335894088.61,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:09:38,submitting @ 2015-10-26 21:09:38,authing @ 2015-10-26 21:09:38,launching @ 2015-10-26 21:09:38,running @ 2015-10-26 21:09:38,closing @ 2015-10-26 21:11:43,completed @ 2015-10-26 21:11:44
s24-16m-32t,write,write,3076,50397184000,1241.88,1123.33,1280,1520,1720,1890,2350,3260,25.76,422133022.47,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:11:46,submitting @ 2015-10-26 21:11:46,authing @ 2015-10-26 21:11:46,launching @ 2015-10-26 21:11:46,running @ 2015-10-26 21:11:46,closing @ 2015-10-26 21:13:51,completed @ 2015-10-26 21:13:52
s25-16m-64t,write,write,3445,56442880000,2201.02,2065.28,2230,2770,3250,3940,4870,8030,29.08,476415016.09,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:13:54,submitting @ 2015-10-26 21:13:54,authing @ 2015-10-26 21:13:54,launching @ 2015-10-26 21:13:54,running @ 2015-10-26 21:13:55,closing @ 2015-10-26 21:16:00,completed @ 2015-10-26 21:16:00
s26-16m-128t,write,write,3883,63619072000,3885.67,3732.33,3830,4970,6070,7330,11220,19350,32.94,539740847.27,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:16:02,submitting @ 2015-10-26 21:16:02,authing @ 2015-10-26 21:16:02,launching @ 2015-10-26 21:16:03,running @ 2015-10-26 21:16:03,closing @ 2015-10-26 21:18:08,completed @ 2015-10-26 21:18:08
s27-64m-1t,write,write,198,12976128000,605.7,292.66,600,640,700,800,910,1060,1.65,108171358.55,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:18:10,submitting @ 2015-10-26 21:18:10,authing @ 2015-10-26 21:18:10,launching @ 2015-10-26 21:18:10,running @ 2015-10-26 21:18:11,closing @ 2015-10-26 21:20:16,completed @ 2015-10-26 21:20:16
s28-64m-4t,write,write,369,24182784000,1293.52,609.47,1350,1590,1720,1820,2150,2530,3.09,202635047.12,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:20:18,submitting @ 2015-10-26 21:20:18,authing @ 2015-10-26 21:20:18,launching @ 2015-10-26 21:20:18,running @ 2015-10-26 21:20:19,closing @ 2015-10-26 21:22:24,completed @ 2015-10-26 21:22:24
s29-64m-16t,write,write,729,47775744000,2602.88,1349.36,2700,2990,3220,3430,3720,4680,6.15,402808576.8,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:22:26,submitting @ 2015-10-26 21:22:26,authing @ 2015-10-26 21:22:26,launching @ 2015-10-26 21:22:26,running @ 2015-10-26 21:22:27,closing @ 2015-10-26 21:24:32,completed @ 2015-10-26 21:24:32
s30-64m-32t,write,write,877,57475072000,4292.63,2104.77,4390,4920,5380,5710,6480,8480,7.45,488514936.5,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:24:34,submitting @ 2015-10-26 21:24:34,authing @ 2015-10-26 21:24:34,launching @ 2015-10-26 21:24:34,running @ 2015-10-26 21:24:35,closing @ 2015-10-26 21:26:40,completed @ 2015-10-26 21:26:40
s31-64m-64t,write,write,943,61800448000,7805.46,4019.99,8010,9300,10310,11370,13060,15750,8.2,537225635.91,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:26:42,submitting @ 2015-10-26 21:26:42,authing @ 2015-10-26 21:26:42,launching @ 2015-10-26 21:26:43,running @ 2015-10-26 21:26:43,closing @ 2015-10-26 21:28:48,completed @ 2015-10-26 21:28:48
s32-64m-128t,write,write,980,64225280000,14607.33,7015.51,14810,17300,19470,21510,26160,49890,8.76,574357715.18,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:28:50,submitting @ 2015-10-26 21:28:50,authing @ 2015-10-26 21:28:51,launching @ 2015-10-26 21:28:51,running @ 2015-10-26 21:28:51,closing @ 2015-10-26 21:31:06,completed @ 2015-10-26 21:31:06
