Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s14-1m-4t,read,read,7021,7189504000,34.16,26.59,40,40,50,50,50,240,117.05,119860522.17,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:02:05,submitting @ 2015-10-27 00:02:05,authing @ 2015-10-27 00:02:05,launching @ 2015-10-27 00:02:05,running @ 2015-10-27 00:02:05,closing @ 2015-10-27 00:03:05,completed @ 2015-10-27 00:03:05
s15-1m-16t,read,read,19691,20163584000,48.73,41.16,60,60,70,70,80,650,328.29,336165957.42,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:03:08,submitting @ 2015-10-27 00:03:08,authing @ 2015-10-27 00:03:08,launching @ 2015-10-27 00:03:08,running @ 2015-10-27 00:03:08,closing @ 2015-10-27 00:04:08,completed @ 2015-10-27 00:04:08
s16-1m-32t,read,read,21797,22320128000,88.01,79.73,100,110,110,120,140,1560,363.54,372269529.77,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:04:11,submitting @ 2015-10-27 00:04:11,authing @ 2015-10-27 00:04:11,launching @ 2015-10-27 00:04:11,running @ 2015-10-27 00:04:11,closing @ 2015-10-27 00:05:11,completed @ 2015-10-27 00:05:11
s17-1m-64t,read,read,21668,22188032000,176.93,166.06,180,190,210,230,270,580,361.68,370365254.29,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:05:14,submitting @ 2015-10-27 00:05:14,authing @ 2015-10-27 00:05:14,launching @ 2015-10-27 00:05:14,running @ 2015-10-27 00:05:14,closing @ 2015-10-27 00:06:19,completed @ 2015-10-27 00:06:20
s18-1m-128t,read,read,21204,21712896000,361.05,349.33,350,360,450,550,610,790,354.5,363013044.29,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:06:22,submitting @ 2015-10-27 00:06:22,authing @ 2015-10-27 00:06:22,launching @ 2015-10-27 00:06:22,running @ 2015-10-27 00:06:23,closing @ 2015-10-27 00:07:28,completed @ 2015-10-27 00:07:28
s19-16m-1t,read,read,259,4243456000,231.32,42.53,290,320,330,340,410,420,4.32,70818691.59,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:07:30,submitting @ 2015-10-27 00:07:30,authing @ 2015-10-27 00:07:30,launching @ 2015-10-27 00:07:30,running @ 2015-10-27 00:07:31,closing @ 2015-10-27 00:08:31,completed @ 2015-10-27 00:08:31
s20-16m-4t,read,read,1175,19251200000,203.76,38.78,270,310,330,340,510,580,19.63,321613520.08,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:08:33,submitting @ 2015-10-27 00:08:33,authing @ 2015-10-27 00:08:33,launching @ 2015-10-27 00:08:33,running @ 2015-10-27 00:08:34,closing @ 2015-10-27 00:09:34,completed @ 2015-10-27 00:09:34
s21-16m-16t,read,read,2799,45858816000,341.75,104.99,350,480,550,630,750,1160,46.81,767012622.51,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:09:36,submitting @ 2015-10-27 00:09:36,authing @ 2015-10-27 00:09:36,launching @ 2015-10-27 00:09:36,running @ 2015-10-27 00:09:37,closing @ 2015-10-27 00:10:42,completed @ 2015-10-27 00:10:42
s22-16m-32t,read,read,3613,59195392000,528.85,223.92,550,690,800,910,1170,2040,60.51,991365167.56,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:10:44,submitting @ 2015-10-27 00:10:44,authing @ 2015-10-27 00:10:44,launching @ 2015-10-27 00:10:44,running @ 2015-10-27 00:10:45,closing @ 2015-10-27 00:11:50,completed @ 2015-10-27 00:11:50
s23-16m-64t,read,read,3868,63373312000,983.81,601.32,1010,1210,1380,1550,1900,2480,65.05,1065805805.43,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:11:52,submitting @ 2015-10-27 00:11:52,authing @ 2015-10-27 00:11:52,launching @ 2015-10-27 00:11:52,running @ 2015-10-27 00:11:53,closing @ 2015-10-27 00:12:58,completed @ 2015-10-27 00:12:58
s24-16m-128t,read,read,3986,65306624000,1894.74,1453.98,1930,2180,2390,2600,3010,4240,67.55,1106816176.7,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:13:00,submitting @ 2015-10-27 00:13:00,authing @ 2015-10-27 00:13:00,launching @ 2015-10-27 00:13:01,running @ 2015-10-27 00:13:01,closing @ 2015-10-27 00:14:06,completed @ 2015-10-27 00:14:06
s25-64m-1t,read,read,117,7667712000,512.53,49.37,520,590,630,660,700,760,1.95,127859129.56,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:14:08,submitting @ 2015-10-27 00:14:08,authing @ 2015-10-27 00:14:08,launching @ 2015-10-27 00:14:09,running @ 2015-10-27 00:14:09,closing @ 2015-10-27 00:15:14,completed @ 2015-10-27 00:15:14
s26-64m-4t,read,read,490,32112640000,487.94,47.32,520,550,640,680,800,970,8.2,537207089.64,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:15:16,submitting @ 2015-10-27 00:15:16,authing @ 2015-10-27 00:15:16,launching @ 2015-10-27 00:15:17,running @ 2015-10-27 00:15:17,closing @ 2015-10-27 00:16:22,completed @ 2015-10-27 00:16:22
s27-64m-16t,read,read,1003,65732608000,944.91,233.73,980,1150,1290,1400,1600,2100,16.93,1109716523.85,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:16:24,submitting @ 2015-10-27 00:16:24,authing @ 2015-10-27 00:16:24,launching @ 2015-10-27 00:16:25,running @ 2015-10-27 00:16:25,closing @ 2015-10-27 00:17:30,completed @ 2015-10-27 00:17:30
s28-64m-32t,read,read,1024,67108864000,1852.17,841.53,1920,2200,2440,2630,3000,3670,17.27,1132092196.34,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:17:32,submitting @ 2015-10-27 00:17:32,authing @ 2015-10-27 00:17:32,launching @ 2015-10-27 00:17:33,running @ 2015-10-27 00:17:33,closing @ 2015-10-27 00:18:38,completed @ 2015-10-27 00:18:38
s29-64m-64t,read,read,1040,68157440000,3588.85,2241.28,3710,4190,4560,4950,5450,6200,17.83,1168794553.58,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:18:40,submitting @ 2015-10-27 00:18:40,authing @ 2015-10-27 00:18:40,launching @ 2015-10-27 00:18:41,running @ 2015-10-27 00:18:41,closing @ 2015-10-27 00:19:46,completed @ 2015-10-27 00:19:46
s30-64m-128t,read,read,1026,67239936000,7046.23,5489.7,7240,7870,8510,9410,10860,11940,18.17,1190707080.29,100%,completed,waiting @ 2015-10-26 23:48:20,booting @ 2015-10-27 00:19:48,submitting @ 2015-10-27 00:19:48,authing @ 2015-10-27 00:19:49,launching @ 2015-10-27 00:19:49,running @ 2015-10-27 00:19:49,closing @ 2015-10-27 00:20:59,completed @ 2015-10-27 00:20:59
