================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M6E254653C8, driver: driver1 ----------------------------------
2015-11-07 14:23:14,181 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/62myobject
2015-11-07 14:23:14,201 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/63myobject
2015-11-07 14:23:14,216 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/64myobject
2015-11-07 14:23:14,229 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/65myobject
2015-11-07 14:23:14,244 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/66myobject
2015-11-07 14:23:14,264 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/67myobject
2015-11-07 14:23:14,277 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/68myobject
2015-11-07 14:23:14,290 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/69myobject
2015-11-07 14:23:14,305 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/70myobject
2015-11-07 14:23:14,317 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/71myobject
2015-11-07 14:23:14,330 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/72myobject
2015-11-07 14:23:14,345 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/73myobject
2015-11-07 14:23:14,359 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/74myobject
2015-11-07 14:23:14,374 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/75myobject
2015-11-07 14:23:14,390 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/76myobject
2015-11-07 14:23:14,405 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/77myobject
2015-11-07 14:23:14,427 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/78myobject
2015-11-07 14:23:14,444 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/79myobject
2015-11-07 14:23:14,458 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/80myobject
2015-11-07 14:23:14,472 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/81myobject
2015-11-07 14:23:14,488 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/82myobject
2015-11-07 14:23:14,503 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/83myobject
2015-11-07 14:23:14,515 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/84myobject
2015-11-07 14:23:14,535 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/85myobject
2015-11-07 14:23:14,549 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/86myobject
2015-11-07 14:23:14,564 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/87myobject
2015-11-07 14:23:14,577 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/88myobject
2015-11-07 14:23:14,592 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/89myobject
2015-11-07 14:23:14,605 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/90myobject
2015-11-07 14:23:14,619 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/91myobject
2015-11-07 14:23:14,632 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/92myobject
2015-11-07 14:23:14,645 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/93myobject
2015-11-07 14:23:14,658 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/94myobject
2015-11-07 14:23:14,670 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/95myobject
2015-11-07 14:23:14,684 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/96myobject
2015-11-07 14:23:14,712 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/97myobject
2015-11-07 14:23:14,725 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/98myobject
2015-11-07 14:23:14,739 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/99myobject
2015-11-07 14:23:14,753 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/100myobject
2015-11-07 14:23:14,769 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/1myobject
2015-11-07 14:23:14,798 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/2myobject
2015-11-07 14:23:14,812 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/3myobject
2015-11-07 14:23:14,827 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/4myobject
2015-11-07 14:23:14,841 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/5myobject
2015-11-07 14:23:14,855 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/6myobject
2015-11-07 14:23:14,869 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/7myobject
2015-11-07 14:23:14,882 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/8myobject
2015-11-07 14:23:14,898 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/9myobject
2015-11-07 14:23:14,912 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/10myobject
2015-11-07 14:23:14,927 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/11myobject
2015-11-07 14:23:14,944 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/12myobject
2015-11-07 14:23:14,960 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/13myobject
2015-11-07 14:23:14,975 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/14myobject
2015-11-07 14:23:14,989 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/15myobject
2015-11-07 14:23:15,003 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/16myobject
2015-11-07 14:23:15,018 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/17myobject
2015-11-07 14:23:15,033 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/18myobject
2015-11-07 14:23:15,048 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/19myobject
2015-11-07 14:23:15,062 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/20myobject
2015-11-07 14:23:15,077 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/21myobject
2015-11-07 14:23:15,092 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/22myobject
2015-11-07 14:23:15,106 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/23myobject
2015-11-07 14:23:15,121 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/24myobject
2015-11-07 14:23:15,138 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/25myobject
2015-11-07 14:23:15,152 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/26myobject
2015-11-07 14:23:15,168 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/27myobject
2015-11-07 14:23:15,183 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/28myobject
2015-11-07 14:23:15,196 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/29myobject
2015-11-07 14:23:15,212 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/30myobject
2015-11-07 14:23:15,227 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/31myobject
2015-11-07 14:23:15,245 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/32myobject
2015-11-07 14:23:15,271 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/33myobject
2015-11-07 14:23:15,286 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/34myobject
2015-11-07 14:23:15,300 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/35myobject
2015-11-07 14:23:15,314 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/36myobject
2015-11-07 14:23:15,328 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/37myobject
2015-11-07 14:23:15,340 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/38myobject
2015-11-07 14:23:15,354 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/39myobject
2015-11-07 14:23:15,373 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/40myobject
2015-11-07 14:23:15,390 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/41myobject
2015-11-07 14:23:15,406 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/42myobject
2015-11-07 14:23:15,420 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/43myobject
2015-11-07 14:23:15,438 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/44myobject
2015-11-07 14:23:15,456 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/45myobject
2015-11-07 14:23:15,489 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/46myobject
2015-11-07 14:23:15,503 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/47myobject
2015-11-07 14:23:15,516 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/48myobject
2015-11-07 14:23:15,531 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/49myobject
2015-11-07 14:23:15,549 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/50myobject
2015-11-07 14:23:15,565 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/51myobject
2015-11-07 14:23:15,581 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/52myobject
2015-11-07 14:23:15,597 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/53myobject
2015-11-07 14:23:15,611 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/54myobject
2015-11-07 14:23:15,624 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/55myobject
2015-11-07 14:23:15,641 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/56myobject
2015-11-07 14:23:15,655 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/57myobject
2015-11-07 14:23:15,669 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/58myobject
2015-11-07 14:23:15,706 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/59myobject
2015-11-07 14:23:15,722 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/60myobject
2015-11-07 14:23:15,739 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/61myobject
2015-11-07 14:23:15,757 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/62myobject
2015-11-07 14:23:15,773 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/63myobject
2015-11-07 14:23:15,787 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/64myobject
2015-11-07 14:23:15,802 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/65myobject
2015-11-07 14:23:15,817 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/66myobject
2015-11-07 14:23:15,831 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/67myobject
2015-11-07 14:23:15,847 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/68myobject
2015-11-07 14:23:15,864 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/69myobject
2015-11-07 14:23:15,880 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/70myobject
2015-11-07 14:23:15,899 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/71myobject
2015-11-07 14:23:15,913 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/72myobject
2015-11-07 14:23:15,927 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/73myobject
2015-11-07 14:23:15,941 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/74myobject
2015-11-07 14:23:15,954 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/75myobject
2015-11-07 14:23:15,967 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/76myobject
2015-11-07 14:23:15,984 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/77myobject
2015-11-07 14:23:15,997 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/78myobject
2015-11-07 14:23:16,012 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/79myobject
2015-11-07 14:23:16,028 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/80myobject
2015-11-07 14:23:16,042 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/81myobject
2015-11-07 14:23:16,057 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/82myobject
2015-11-07 14:23:16,072 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/83myobject
2015-11-07 14:23:16,091 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/84myobject
2015-11-07 14:23:16,108 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/85myobject
2015-11-07 14:23:16,121 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/86myobject
2015-11-07 14:23:16,135 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/87myobject
2015-11-07 14:23:16,151 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/88myobject
2015-11-07 14:23:16,166 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/89myobject
2015-11-07 14:23:16,180 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/90myobject
2015-11-07 14:23:16,193 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/91myobject
2015-11-07 14:23:16,209 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/92myobject
2015-11-07 14:23:16,225 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/93myobject
2015-11-07 14:23:16,238 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/94myobject
2015-11-07 14:23:16,251 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/95myobject
2015-11-07 14:23:16,264 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/96myobject
2015-11-07 14:23:16,279 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/97myobject
2015-11-07 14:23:16,294 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/98myobject
2015-11-07 14:23:16,307 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/99myobject
2015-11-07 14:23:16,323 [INFO] [NoneStorage] - performing DELETE at /dssreadbench2/100myobject
2015-11-07 14:23:16,340 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/1myobject
2015-11-07 14:23:16,372 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/2myobject
2015-11-07 14:23:16,387 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/3myobject
2015-11-07 14:23:16,403 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/4myobject
2015-11-07 14:23:16,416 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/5myobject
2015-11-07 14:23:16,431 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/6myobject
2015-11-07 14:23:16,450 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/7myobject
2015-11-07 14:23:16,466 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/8myobject
2015-11-07 14:23:16,481 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/9myobject
2015-11-07 14:23:16,500 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/10myobject
2015-11-07 14:23:16,515 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/11myobject
2015-11-07 14:23:16,530 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/12myobject
2015-11-07 14:23:16,543 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/13myobject
2015-11-07 14:23:16,562 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/14myobject
2015-11-07 14:23:16,594 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/15myobject
2015-11-07 14:23:16,608 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/16myobject
2015-11-07 14:23:16,624 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/17myobject
2015-11-07 14:23:16,640 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/18myobject
2015-11-07 14:23:16,655 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/19myobject
2015-11-07 14:23:16,670 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/20myobject
2015-11-07 14:23:16,685 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/21myobject
2015-11-07 14:23:16,700 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/22myobject
2015-11-07 14:23:16,760 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/23myobject
2015-11-07 14:23:16,779 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/24myobject
2015-11-07 14:23:16,793 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/25myobject
2015-11-07 14:23:16,807 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/26myobject
2015-11-07 14:23:16,820 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/27myobject
2015-11-07 14:23:16,838 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/28myobject
2015-11-07 14:23:16,868 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/29myobject
2015-11-07 14:23:16,899 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/30myobject
2015-11-07 14:23:16,915 [INFO] [NoneStorage] - performing DELETE at /dssreadbench3/31myobject
