Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
11:52:31,101,6464000,49.61,48.95,20.11,1287136.6,100%,0,0,0
11:52:36,121,7744000,41.42,41.02,24.1,1542322.25,100%,1,1,1
11:52:41,115,7360000,43.58,43.26,22.89,1465259.8,100%,2,2,2
11:52:46,101,6464000,49.61,49.14,20.12,1287392.95,100%,3,3,3
11:52:51,100,6400000,50.13,49.88,19.89,1272871.92,100%,4,4,4
11:52:56,112,7168000,44.58,44.26,22.4,1433600,100%,5,5,5
11:53:01,117,7488000,42.74,42.37,23.33,1492822.97,100%,6,6,6
11:53:06,116,7424000,43.17,42.78,23.11,1479179.12,100%,7,7,7
11:53:11,102,6528000,49.33,48.94,20.24,1295495.14,100%,8,8,8
11:53:16,0,0,N/A,N/A,0,0,N/A,9,9,9
11:53:21,99,6336000,50.8,50.45,39.28,2513786.95,100%,10,10,10
11:53:26,99,6336000,48.15,47.83,20.72,1325800.38,100%,11,11,11
