Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
12:12:42,0,0,N/A,N/A,0,0,N/A,0,0,0
12:12:47,12,786432000,1992.58,333.5,2.02,132410535.91,100%,1,1,1
12:12:52,11,720896000,2161.09,482.91,1.85,121414564.85,100%,2,2,2
12:12:57,11,720896000,2295,624.45,1.74,114020350.77,100%,3,3,3
12:13:02,7,458752000,2465.14,650.57,1.21,79015715.72,100%,4,4,4
12:13:07,8,524288000,2277.25,585,1.78,116777626.9,100%,5,5,5
12:13:12,6,393216000,2301,580.67,1.3,85179445.51,100%,6,6,6
12:13:17,9,589824000,2298.78,642.78,2.14,140164620.78,100%,7,7,7
12:13:22,9,589824000,2900,691,1.75,114842676.26,100%,8,8,8
12:13:27,11,720896000,2065.91,371.91,1.91,124908187.18,91.67%,9,9,9
12:13:32,9,589824000,2160.67,552.11,1.39,90954460.99,90%,10,10,10
12:13:37,3,196608000,2748.67,415.33,0.73,47685665.78,75%,11,11,11
12:13:42,2,131072000,2163,469,0.44,28813365.57,66.67%,12,12,12
