Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:45:50,submitting @ 2015-11-07 11:45:48,authing @ 2015-11-07 11:45:48,launching @ 2015-11-07 11:45:48,running @ 2015-11-07 11:45:48,closing @ 2015-11-07 11:46:18,completed @ 2015-11-07 11:46:18
s2-1k-1t,write,write,1679,1679000,35.64,35.64,40,50,60,80,140,920,27.99,27986.13,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:46:20,submitting @ 2015-11-07 11:46:18,authing @ 2015-11-07 11:46:18,launching @ 2015-11-07 11:46:18,running @ 2015-11-07 11:46:18,closing @ 2015-11-07 11:47:18,completed @ 2015-11-07 11:47:18
s3-1k-4t,write,write,7633,7633000,31.33,31.33,40,40,50,60,110,1020,127.26,127256.52,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:47:20,submitting @ 2015-11-07 11:47:18,authing @ 2015-11-07 11:47:18,launching @ 2015-11-07 11:47:18,running @ 2015-11-07 11:47:18,closing @ 2015-11-07 11:48:18,completed @ 2015-11-07 11:48:18
s4-1k-16t,write,write,28408,28408000,33.7,33.7,40,50,50,70,130,1580,473.59,473589.35,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:48:20,submitting @ 2015-11-07 11:48:18,authing @ 2015-11-07 11:48:18,launching @ 2015-11-07 11:48:18,running @ 2015-11-07 11:48:18,closing @ 2015-11-07 11:49:18,completed @ 2015-11-07 11:49:18
s5-1k-32t,write,write,58097,58097000,32.95,32.95,40,40,50,70,130,1060,968.54,968537.37,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:49:20,submitting @ 2015-11-07 11:49:18,authing @ 2015-11-07 11:49:18,launching @ 2015-11-07 11:49:18,running @ 2015-11-07 11:49:18,closing @ 2015-11-07 11:50:18,completed @ 2015-11-07 11:50:18
s6-1k-64t,write,write,114430,114430000,33.47,33.47,40,50,50,70,130,2010,1907.98,1907975.94,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:50:20,submitting @ 2015-11-07 11:50:18,authing @ 2015-11-07 11:50:18,launching @ 2015-11-07 11:50:18,running @ 2015-11-07 11:50:18,closing @ 2015-11-07 11:51:23,completed @ 2015-11-07 11:51:23
s7-1k-128t,write,write,197606,197606000,38.77,38.77,40,50,60,100,170,1230,3295.47,3295467.82,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:51:25,submitting @ 2015-11-07 11:51:24,authing @ 2015-11-07 11:51:24,launching @ 2015-11-07 11:51:24,running @ 2015-11-07 11:51:24,closing @ 2015-11-07 11:52:24,completed @ 2015-11-07 11:52:24
s8-64k-1t,write,write,1290,82560000,46.41,46.02,50,60,70,90,150,580,21.5,1376068.8,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:52:26,submitting @ 2015-11-07 11:52:24,authing @ 2015-11-07 11:52:24,launching @ 2015-11-07 11:52:24,running @ 2015-11-07 11:52:24,closing @ 2015-11-07 11:53:24,completed @ 2015-11-07 11:53:24
s9-64k-4t,write,write,5357,342848000,44.67,44.3,50,60,70,80,130,1100,89.33,5716977.79,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:53:26,submitting @ 2015-11-07 11:53:24,authing @ 2015-11-07 11:53:24,launching @ 2015-11-07 11:53:24,running @ 2015-11-07 11:53:24,closing @ 2015-11-07 11:54:24,completed @ 2015-11-07 11:54:24
s10-64k-16t,write,write,20583,1317312000,46.54,46.21,50,60,70,90,150,1560,343.18,21963537.16,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:54:26,submitting @ 2015-11-07 11:54:24,authing @ 2015-11-07 11:54:24,launching @ 2015-11-07 11:54:24,running @ 2015-11-07 11:54:24,closing @ 2015-11-07 11:55:24,completed @ 2015-11-07 11:55:24
s11-64k-32t,write,write,43185,2763840000,44.36,44.04,50,60,70,80,130,1880,720.02,46081510.29,100%,completed,waiting @ 2015-11-07 11:45:50,booting @ 2015-11-07 11:55:26,submitting @ 2015-11-07 11:55:24,authing @ 2015-11-07 11:55:24,launching @ 2015-11-07 11:55:24,running @ 2015-11-07 11:55:24,closing @ 2015-11-07 11:56:24,completed @ 2015-11-07 11:56:24
