================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M0E1EF1BEB4, driver: driver1 ----------------------------------
2015-11-07 12:32:36,103 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/62myobject
2015-11-07 12:32:36,123 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/63myobject
2015-11-07 12:32:36,137 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/64myobject
2015-11-07 12:32:36,165 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/65myobject
2015-11-07 12:32:36,183 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/66myobject
2015-11-07 12:32:36,198 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/67myobject
2015-11-07 12:32:36,213 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/68myobject
2015-11-07 12:32:36,227 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/69myobject
2015-11-07 12:32:36,239 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/70myobject
2015-11-07 12:32:36,251 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/71myobject
2015-11-07 12:32:36,267 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/72myobject
2015-11-07 12:32:36,280 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/73myobject
2015-11-07 12:32:36,296 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/74myobject
2015-11-07 12:32:36,309 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/75myobject
2015-11-07 12:32:36,322 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/76myobject
2015-11-07 12:32:36,334 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/77myobject
2015-11-07 12:32:36,346 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/78myobject
2015-11-07 12:32:36,360 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/79myobject
2015-11-07 12:32:36,374 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/80myobject
2015-11-07 12:32:36,389 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/81myobject
2015-11-07 12:32:36,401 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/82myobject
2015-11-07 12:32:36,418 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/83myobject
2015-11-07 12:32:36,432 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/84myobject
2015-11-07 12:32:36,458 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/85myobject
2015-11-07 12:32:36,470 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/86myobject
2015-11-07 12:32:36,486 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/87myobject
2015-11-07 12:32:36,502 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/88myobject
2015-11-07 12:32:36,545 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/89myobject
2015-11-07 12:32:36,562 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/90myobject
2015-11-07 12:32:36,586 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/91myobject
2015-11-07 12:32:36,601 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/92myobject
2015-11-07 12:32:36,615 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/93myobject
2015-11-07 12:32:36,629 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/94myobject
2015-11-07 12:32:36,695 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/95myobject
2015-11-07 12:32:36,709 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/96myobject
2015-11-07 12:32:36,721 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/97myobject
2015-11-07 12:32:36,733 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/98myobject
2015-11-07 12:32:36,751 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/99myobject
2015-11-07 12:32:36,784 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/100myobject
2015-11-07 12:32:36,797 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/1myobject
2015-11-07 12:32:36,833 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/2myobject
2015-11-07 12:32:36,848 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/3myobject
2015-11-07 12:32:36,867 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/4myobject
2015-11-07 12:32:36,884 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/5myobject
2015-11-07 12:32:36,915 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/6myobject
2015-11-07 12:32:36,931 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/7myobject
2015-11-07 12:32:36,963 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/8myobject
2015-11-07 12:32:36,981 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/9myobject
2015-11-07 12:32:36,995 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/10myobject
2015-11-07 12:32:37,013 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/11myobject
2015-11-07 12:32:37,034 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/12myobject
2015-11-07 12:32:37,049 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/13myobject
2015-11-07 12:32:37,081 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/14myobject
2015-11-07 12:32:37,118 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/15myobject
2015-11-07 12:32:37,133 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/16myobject
2015-11-07 12:32:37,147 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/17myobject
2015-11-07 12:32:37,162 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/18myobject
2015-11-07 12:32:37,176 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/19myobject
2015-11-07 12:32:37,190 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/20myobject
2015-11-07 12:32:37,203 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/21myobject
2015-11-07 12:32:37,217 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/22myobject
2015-11-07 12:32:37,231 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/23myobject
2015-11-07 12:32:37,266 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/24myobject
2015-11-07 12:32:37,283 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/25myobject
2015-11-07 12:32:37,301 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/26myobject
2015-11-07 12:32:37,317 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/27myobject
2015-11-07 12:32:37,333 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/28myobject
2015-11-07 12:32:37,351 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/29myobject
2015-11-07 12:32:37,368 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/30myobject
2015-11-07 12:32:37,386 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/31myobject
2015-11-07 12:32:37,404 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/32myobject
2015-11-07 12:32:37,418 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/33myobject
2015-11-07 12:32:37,438 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/34myobject
2015-11-07 12:32:37,453 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/35myobject
2015-11-07 12:32:37,471 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/36myobject
2015-11-07 12:32:37,485 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/37myobject
2015-11-07 12:32:37,500 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/38myobject
2015-11-07 12:32:37,515 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/39myobject
2015-11-07 12:32:37,531 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/40myobject
2015-11-07 12:32:37,545 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/41myobject
2015-11-07 12:32:37,562 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/42myobject
2015-11-07 12:32:37,579 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/43myobject
2015-11-07 12:32:37,596 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/44myobject
2015-11-07 12:32:37,612 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/45myobject
2015-11-07 12:32:37,626 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/46myobject
2015-11-07 12:32:37,642 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/47myobject
2015-11-07 12:32:37,656 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/48myobject
2015-11-07 12:32:37,672 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/49myobject
2015-11-07 12:32:37,691 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/50myobject
2015-11-07 12:32:37,711 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2/51myobject
