Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.13    0.00    3.70    1.76    0.00   84.41

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb              18.00     6.19    4.55   28.09   266.52  7655.58   485.40     1.28   39.33    8.59   44.31   3.12  10.17
sdc              16.53     5.61    2.90   24.55   125.11  6741.46   500.24     2.02   73.51   13.56   80.60   4.33  11.89
sdd               8.55     5.64    4.14   25.73   254.36  6745.91   468.60     1.98   66.27   10.11   75.31   4.03  12.05
sde              17.69     4.45    3.03   20.70   135.66  5317.75   459.61     1.59   66.89    8.92   75.39   3.94   9.36
sda               0.00     0.64    0.23    0.75     3.91    17.10    42.74     0.00    1.05    2.38    0.64   0.44   0.04
sdf               1.64     5.62    3.50   24.05   181.44  6509.55   485.77     1.25   45.55    8.37   50.96   3.23   8.90
sdg              15.51     5.87    3.82   24.94   208.86  6896.00   494.07     1.98   68.72   11.58   77.47   4.28  12.31
sdi              20.52     5.19    3.49   22.88   206.92  6073.22   476.18     1.24   46.93    8.97   52.72   3.16   8.34
sdj               7.77     6.00    3.65   26.01   205.94  7009.14   486.57     2.18   73.38   12.99   81.84   4.27  12.67
sdk               1.33     5.35    3.15   23.54   163.48  6183.15   475.72     1.10   41.34   12.00   45.26   3.20   8.54
sdl               1.06     5.82    3.00   25.52   160.59  6745.89   484.28     1.21   42.44   10.35   46.21   3.27   9.33
sdm               5.87     5.25    2.56   22.54   117.14  6205.56   503.68     1.78   70.97   12.41   77.63   4.45  11.17
sdh               3.09     5.88    3.34   24.88   170.78  6702.30   487.01     1.22   43.15   10.16   47.58   3.26   9.20
sdn              13.59     5.68    3.66   24.68   241.55  6660.31   487.12     1.95   68.96   10.37   77.66   4.23  11.99
sdp               2.75     5.37    2.69   22.88   141.07  6133.74   490.89     0.91   35.45    9.22   38.53   3.31   8.47
sdq              17.98     3.80    2.39   17.73   134.13  4444.14   455.06     1.02   50.73    7.52   56.55   3.88   7.80
sdr               6.78     4.33    2.34   19.01   134.20  5082.22   488.66     0.67   31.59    7.49   34.55   3.09   6.60
sds              15.81     4.06    3.59   18.10   270.90  4737.72   461.76     1.09   50.47    6.07   59.29   4.07   8.84
sdt               8.59     4.15    1.67   18.37    67.22  4892.07   494.95     1.25   62.36   11.82   66.96   4.42   8.86
sdu               7.83     4.65    2.75   20.83   181.81  5756.36   503.76     1.41   59.97    8.65   66.74   4.34  10.22
sdw               2.79     4.77    2.24   21.03   129.78  5818.72   511.15     1.23   52.87    9.88   57.45   4.18   9.73
sdv              14.72     5.46    3.25   25.66   228.55  6726.41   481.15     1.69   58.51    9.85   64.66   4.02  11.61
sdx               0.43     5.23    2.49   24.48   155.77  6277.24   477.04     0.66   24.50    8.46   26.13   2.91   7.86
sdy               0.42     4.15    1.95   18.65   111.11  4926.43   488.99     1.00   48.49    9.17   52.60   4.11   8.47
sdo               2.53     4.57    2.40   20.73   124.06  5289.13   468.11     1.55   67.06   10.53   73.61   4.25   9.82
sdz               0.01     0.00    0.46    0.00     1.87     0.00     8.14     0.00    0.16    0.16    0.00   0.16   0.01
sdaa              0.01     0.00    0.46    0.00     1.87     0.00     8.14     0.00    0.16    0.16    0.00   0.15   0.01

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          47.47    0.00   30.49   12.74    0.00    9.30

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00  220.00     0.00 73036.00   663.96     6.27   28.87    0.00   28.87   4.07  89.60
sdc               0.00     0.00    0.00  164.00     0.00 52264.00   637.37     7.34   47.51    0.00   47.51   5.98  98.00
sdd               0.00     0.00    0.00  164.00     0.00 56380.00   687.56     8.26   42.37    0.00   42.37   5.85  96.00
sde               0.00     0.00    0.00   65.00     0.00 24688.00   759.63     3.16   57.35    0.00   57.35   9.54  62.00
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00    88.00    4.00  536.00    32.00 83058.50   307.74     7.31   14.78   44.00   14.56   1.76  95.20
sdg               0.00     0.00    0.00  164.00     0.00 56544.00   689.56     6.54   38.22    0.00   38.22   5.93  97.20
sdi               0.00     0.00    1.00  206.00     8.00 70488.00   681.12     4.15   19.15   56.00   18.97   3.75  77.60
sdj               0.00     0.00    0.00  176.00     0.00 56300.00   639.77    11.46   68.48    0.00   68.48   5.59  98.40
sdk               0.00     0.00    0.00  133.00     0.00 43624.00   656.00     2.19   16.45    0.00   16.45   3.85  51.20
sdl               0.00     0.00    0.00  183.00     0.00 66228.00   723.80     7.30   41.40    0.00   41.40   5.36  98.00
sdm               0.00     0.00    0.00  148.00     0.00 52320.00   707.03     7.02   43.65    0.00   43.65   6.54  96.80
sdh               0.00     0.00    0.00  284.00     0.00 92932.00   654.45     7.29   25.42    0.00   25.42   3.13  88.80
sdn               0.00     0.00    0.00  172.00     0.00 56648.00   658.70     8.44   54.07    0.00   54.07   5.67  97.60
sdp               0.00     0.00    1.00  236.00     8.00 83548.00   705.11     8.13   36.24   24.00   36.29   4.08  96.80
sdq               0.00     0.00    0.00  149.00     0.00 49804.00   668.51     6.60   38.52    0.00   38.52   6.09  90.80
sdr               0.00     0.00    0.00  156.00     0.00 54888.00   703.69     3.43   22.31    0.00   22.31   4.28  66.80
sds               0.00     0.00    1.00  140.00     8.00 49492.00   702.13     6.01   39.49   32.00   39.54   6.92  97.60
sdt               0.00     0.00    0.00  140.00     0.00 52652.00   752.17     8.50   62.63    0.00   62.63   7.00  98.00
sdu               0.00     0.00    1.00  147.00     8.00 51060.00   690.11     6.81   50.84   24.00   51.02   6.54  96.80
sdw               0.00     0.00    0.00  143.00     0.00 58884.00   823.55    46.70  343.13    0.00  343.13   6.88  98.40
sdv               0.00     0.00    1.00  198.00     8.00 63548.00   638.75    14.03   53.95   76.00   53.84   4.94  98.40
sdx               0.00     0.00    0.00  215.00     0.00 73524.00   683.94     7.84   40.89    0.00   40.89   4.48  96.40
sdy               0.00     0.00    0.00  170.00     0.00 53364.00   627.81     9.84   57.72    0.00   57.72   5.79  98.40
sdo               0.00     0.00    0.00  162.00     0.00 51008.00   629.73     6.32   33.85    0.00   33.85   5.51  89.20
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          53.87    0.00   30.93    8.92    0.00    6.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00  156.00     0.00 49400.00   633.33     3.87   21.15    0.00   21.15   3.51  54.80
sdc               0.00     0.00    0.00  172.00     0.00 55272.00   642.70     7.19   33.16    0.00   33.16   5.77  99.20
