       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1069.45   1537.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1129.30   1546.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    994.07   1524.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1107.95   1625.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1023.54   1492.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1109.43   1548.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    920.06   1434.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1092.60   1559.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1110.04   1630.11
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1111.85   1543.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1052.71   1479.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1037.39   1517.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    964.77   1462.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1079.33   1460.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1121.07   1670.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1138.32   1612.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1158.82   1678.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1076.05   1522.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1045.92   1509.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1159.20   1663.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1076.64   1548.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1272.17   1885.16
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1161.86   1617.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1038.70   1535.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1062.34   1542.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1116.63   1599.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1218.13   1745.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    996.52   1454.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1155.38   1657.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1080.62   1527.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1044.16   1514.22
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1239.05   1730.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1106.72   1604.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1023.19   1505.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    960.13   1450.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1161.95   1613.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1078.48   1514.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1042.85   1525.98
