Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,42,42000,7135.38,7135.38,0.14,140.14,100%
write,write,38,38000,7006.11,7006.11,0.14,142.73,100%
write,write,38,38000,7796.34,7796.34,0.13,128.26,100%
write,write,45,45000,6595.24,6595.24,0.15,151.62,100%
write,write,50,50000,5999.2,5999.2,0.17,166.69,100%
write,write,32,32000,8443.94,8443.94,0.12,118.43,100%
write,write,46,46000,6152.8,6152.8,0.16,162.52,100%
write,write,35,35000,7827.83,7827.83,0.13,127.75,100%
write,write,39,39000,6886.64,6886.64,0.15,145.2,100%
write,write,50,50000,5941.74,5941.74,0.17,168.29,100%
write,write,35,35000,7791.8,7791.8,0.13,128.34,100%
write,write,44,44000,6708.64,6708.64,0.15,149.06,100%
write,write,37,37000,8060.08,8060.08,0.12,124.06,100%
write,write,34,34000,7932.59,7932.59,0.13,126.06,100%
write,write,45,45000,6304.8,6304.8,0.16,158.61,100%
write,write,48,48000,6043.33,6043.33,0.17,165.47,100%
write,write,47,47000,6293.83,6293.83,0.16,158.88,100%
write,write,40,40000,7207.1,7207.1,0.14,138.75,100%
write,write,41,41000,7165.07,7165.07,0.14,139.56,100%
write,write,48,48000,5677.58,5677.58,0.18,176.13,100%
write,write,39,39000,7608.36,7608.36,0.13,131.43,100%
write,write,52,52000,5725.65,5725.65,0.17,174.65,100%
write,write,42,42000,6980.81,6980.81,0.14,143.25,100%
write,write,37,37000,7793.11,7793.11,0.13,128.32,100%
write,write,48,48000,6030.9,6030.9,0.17,165.81,100%
write,write,44,44000,6530.23,6530.23,0.15,153.13,100%
write,write,41,41000,7259.15,7259.15,0.14,137.75,100%
write,write,36,36000,8275.25,8275.25,0.12,120.84,100%
write,write,44,44000,6792.25,6792.25,0.15,147.22,100%
write,write,44,44000,6708.86,6708.86,0.15,149.05,100%
write,write,49,49000,6099.14,6099.14,0.16,163.95,100%
write,write,37,37000,7861.19,7861.19,0.13,127.2,100%
write,write,45,45000,6264.49,6264.49,0.16,159.63,100%
write,write,49,49000,6021.35,6021.35,0.17,166.07,100%
write,write,57,57000,5126.72,5126.72,0.2,195.05,100%
write,write,27,27000,10662.11,10662.11,0.09,93.79,100%
write,write,42,42000,7125.33,7125.33,0.14,140.34,100%
write,write,40,40000,7135.8,7135.8,0.14,140.13,100%
write,write,45,45000,6419.51,6419.51,0.16,155.77,100%
write,write,43,43000,6942.88,6942.88,0.14,144.03,100%
write,write,40,40000,7382.58,7382.58,0.14,135.45,100%
write,write,42,42000,7135.88,7135.88,0.14,140.13,100%
write,write,47,47000,6170.28,6170.28,0.16,162.06,100%
write,write,46,46000,6133.59,6133.59,0.16,163.03,100%
write,write,42,42000,6755.62,6755.6,0.15,148.02,100%
write,write,36,36000,8097.33,8097.33,0.12,123.49,100%
write,write,30,30000,8864.43,8864.43,0.11,112.81,100%
write,write,40,40000,7207.35,7207.35,0.14,138.74,100%
write,write,31,31000,9034.32,9034.32,0.11,110.69,100%
write,write,45,45000,6164.16,6164.16,0.16,162.23,100%
write,write,44,44000,6555.05,6555.05,0.15,152.55,100%
write,write,57,57000,5259.33,5259.33,0.19,190.13,100%
write,write,57,57000,5235.79,5235.79,0.19,190.99,100%
write,write,52,52000,5567.88,5567.88,0.18,179.6,100%
write,write,46,46000,6504.22,6504.22,0.15,153.74,100%
write,write,42,42000,7001.48,7001.48,0.14,142.82,100%
write,write,37,37000,7606.59,7606.59,0.13,131.46,100%
write,write,38,38000,7102.76,7102.76,0.14,140.79,100%
write,write,40,40000,7383,7383,0.14,135.44,100%
write,write,30,30000,8960.37,8960.37,0.11,111.6,100%
write,write,43,43000,6492.86,6492.86,0.15,154.01,100%
write,write,39,39000,7651.69,7651.69,0.13,130.69,100%
write,write,45,45000,6582.62,6582.62,0.15,151.91,100%
write,write,48,48000,5918.9,5918.9,0.17,168.94,100%
write,write,37,37000,8062.43,8062.43,0.12,124.03,100%
write,write,58,58000,5111.97,5111.97,0.2,195.62,100%
write,write,46,46000,6393.54,6393.54,0.16,156.4,100%
write,write,56,56000,5177.96,5177.96,0.19,193.12,100%
write,write,49,49000,6021.37,6021.37,0.17,166.07,100%
write,write,42,42000,7092.29,7092.29,0.14,140.99,100%
write,write,45,45000,6377.69,6377.69,0.16,156.79,100%
write,write,36,36000,7829.28,7829.28,0.13,127.72,100%
write,write,44,44000,6635.61,6635.61,0.15,150.7,100%
write,write,38,38000,7546.08,7546.08,0.13,132.52,100%
write,write,26,26000,10645.58,10645.58,0.09,93.94,100%
write,write,45,45000,6289.51,6289.51,0.16,158.99,100%
write,write,43,43000,6220.74,6220.74,0.16,160.75,100%
write,write,50,50000,5462.14,5462.14,0.18,183.07,100%
write,write,43,43000,6971.16,6971.16,0.14,143.45,100%
write,write,51,51000,5816.82,5816.82,0.17,171.91,100%
write,write,53,53000,5489.75,5489.75,0.18,182.15,100%
write,write,38,38000,7872.89,7872.89,0.13,127.02,100%
write,write,45,45000,6330.89,6330.89,0.16,157.95,100%
write,write,37,37000,8034.32,8034.32,0.12,124.46,100%
write,write,36,36000,7526.31,7526.31,0.13,132.86,100%
write,write,44,44000,6440.55,6440.55,0.16,155.26,100%
write,write,42,42000,7080.57,7080.55,0.14,141.23,100%
write,write,49,49000,5390.31,5390.31,0.19,185.51,100%
write,write,46,46000,6278.78,6278.78,0.16,159.26,100%
write,write,41,41000,6747.93,6747.93,0.15,148.19,100%
write,write,52,52000,5764.12,5764.12,0.17,173.48,100%
write,write,43,43000,6244.37,6244.37,0.16,160.14,100%
write,write,37,37000,8074.84,8074.84,0.12,123.84,100%
write,write,45,45000,6079.87,6079.87,0.16,164.47,100%
write,write,29,29000,10278.59,10278.59,0.1,97.29,100%
write,write,41,41000,6991.2,6991.2,0.14,143.03,100%
write,write,47,47000,6381.53,6381.53,0.16,156.7,100%
write,write,33,33000,8974.45,8974.45,0.11,111.42,100%
write,write,49,49000,5630.22,5630.22,0.18,177.61,100%
write,write,39,39000,7186.64,7186.64,0.14,139.14,100%
write,write,40,40000,7477.45,7477.45,0.13,133.73,100%
write,write,48,48000,6145.94,6145.94,0.16,162.7,100%
write,write,43,43000,6893.74,6893.74,0.15,145.06,100%
write,write,36,36000,7753.75,7753.75,0.13,128.97,100%
write,write,36,36000,8065.58,8065.58,0.12,123.98,100%
write,write,43,43000,6943.21,6943.21,0.14,144.02,100%
write,write,40,40000,6978.3,6978.3,0.14,143.3,100%
write,write,43,43000,6459.81,6459.81,0.15,154.8,100%
write,write,51,51000,5872.59,5872.59,0.17,170.28,100%
write,write,44,44000,6690.45,6690.45,0.15,149.46,100%
write,write,46,46000,6447.89,6447.89,0.16,155.09,100%
write,write,31,31000,9004.1,9004.1,0.11,111.06,100%
write,write,52,52000,5733.77,5733.77,0.17,174.4,100%
write,write,54,54000,5532.56,5532.56,0.18,180.75,100%
write,write,35,35000,7955.43,7955.43,0.13,125.7,100%
write,write,49,49000,5921.06,5921.06,0.17,168.88,100%
write,write,47,47000,6375.77,6375.77,0.16,156.84,100%
write,write,49,49000,6101.02,6101.02,0.16,163.9,100%
write,write,40,40000,7339.4,7339.4,0.14,136.25,100%
write,write,32,32000,9200.69,9200.69,0.11,108.69,100%
write,write,49,49000,6104.82,6104.82,0.16,163.8,100%
write,write,47,47000,6285.96,6285.96,0.16,159.08,100%
write,write,41,41000,6740.73,6740.73,0.15,148.35,100%
write,write,41,41000,7276.85,7276.85,0.14,137.42,100%
write,write,50,50000,5865.88,5865.88,0.17,170.48,100%
write,write,50,50000,5939.54,5939.54,0.17,168.36,100%
write,write,45,45000,6647.24,6647.24,0.15,150.43,100%
write,write,38,38000,7164.42,7164.39,0.14,139.57,100%
write,write,43,43000,6764.7,6764.7,0.15,147.82,100%
write,write,45,45000,6631.58,6631.58,0.15,150.79,100%
write,write,45,45000,6626.93,6626.93,0.15,150.9,100%
write,write,34,34000,8242.44,8242.44,0.12,121.32,100%
write,write,54,54000,5423.04,5423.02,0.18,184.39,100%
write,write,43,43000,6906.65,6906.65,0.14,144.78,100%
write,write,47,47000,6301.28,6301.28,0.16,158.69,100%
write,write,43,43000,6431.3,6431.3,0.16,155.49,100%
write,write,34,34000,8669.68,8669.68,0.12,115.34,100%
write,write,44,44000,6777,6777,0.15,147.55,100%
write,write,42,42000,7107.74,7107.74,0.14,140.69,100%
write,write,44,44000,6793.41,6793.41,0.15,147.2,100%
write,write,43,43000,6867.58,6867.58,0.15,145.61,100%
write,write,57,57000,5049.39,5049.39,0.2,198.04,100%
write,write,39,39000,6998.08,6998.08,0.14,142.89,100%
write,write,43,43000,6224,6224,0.16,160.66,100%
write,write,32,32000,8477.66,8477.66,0.12,117.95,100%
write,write,41,41000,7275.1,7275.1,0.14,137.45,100%
write,write,46,46000,5936.15,5936.15,0.17,168.45,100%
write,write,38,38000,7801,7801,0.13,128.18,100%
write,write,38,38000,7730.68,7730.68,0.13,129.35,100%
write,write,34,34000,7924.88,7924.88,0.13,126.18,100%
write,write,38,38000,7764,7764,0.13,128.8,100%
write,write,43,43000,6976.02,6976.02,0.14,143.35,100%
write,write,41,41000,6612.27,6612.27,0.15,151.23,100%
write,write,43,43000,6795.72,6795.72,0.15,147.15,100%
write,write,43,43000,6333.6,6333.6,0.16,157.88,100%
write,write,47,47000,5854.62,5854.62,0.17,170.8,100%
write,write,48,48000,6230.38,6230.38,0.16,160.5,100%
write,write,37,37000,7429.11,7429.11,0.13,134.6,100%
write,write,42,42000,6921.74,6921.74,0.14,144.47,100%
write,write,56,56000,5259.5,5259.5,0.19,190.13,100%
write,write,29,29000,10212.17,10212.17,0.1,97.92,100%
write,write,45,45000,6022.09,6022.09,0.17,166.05,100%
write,write,48,48000,6048.12,6048.12,0.17,165.33,100%
write,write,67,67000,4456.91,4456.91,0.22,224.36,100%
write,write,33,33000,8204.03,8204.03,0.12,121.89,100%
write,write,49,49000,6105.65,6105.65,0.16,163.78,100%
write,write,41,41000,7308.61,7308.61,0.14,136.82,100%
write,write,45,45000,6491.71,6491.71,0.15,154.04,100%
write,write,30,30000,9938.47,9938.47,0.1,100.62,100%
write,write,36,36000,8134.58,8134.58,0.12,122.93,100%
write,write,39,39000,7266.49,7266.49,0.14,137.61,100%
write,write,36,36000,8099.03,8099.03,0.12,123.47,100%
write,write,42,42000,6975.74,6975.74,0.14,143.35,100%
write,write,34,34000,8302.79,8302.79,0.12,120.44,100%
write,write,47,47000,6344.38,6344.38,0.16,157.62,100%
write,write,40,40000,7224.68,7224.68,0.14,138.41,100%
write,write,34,34000,7973.06,7973.06,0.13,125.41,100%
write,write,40,40000,7329.75,7329.75,0.14,136.43,100%
write,write,43,43000,6934.6,6934.6,0.14,144.2,100%
write,write,33,33000,9039.91,9039.91,0.11,110.62,100%
write,write,42,42000,6619.17,6619.17,0.15,151.07,100%
write,write,44,44000,6215.43,6215.43,0.16,160.88,100%
write,write,37,37000,8090.35,8090.35,0.12,123.6,100%
write,write,40,40000,7305.95,7305.95,0.14,136.87,100%
write,write,41,41000,7311.29,7311.29,0.14,136.77,100%
write,write,38,38000,7507.95,7507.95,0.13,133.19,100%
write,write,35,35000,7783.83,7783.83,0.13,128.47,100%
write,write,33,33000,8766.18,8766.18,0.11,114.07,100%
write,write,46,46000,6303.76,6303.76,0.16,158.63,100%
write,write,47,47000,6023.89,6023.89,0.17,166,100%
write,write,43,43000,6967,6967,0.14,143.53,100%
write,write,42,42000,6939.81,6939.81,0.14,144.09,100%
write,write,57,57000,5068.04,5068.04,0.2,197.31,100%
write,write,42,42000,7117.38,7117.38,0.14,140.5,100%
write,write,43,43000,6969.49,6969.49,0.14,143.48,100%
write,write,31,31000,9653.94,9653.94,0.1,103.58,100%
write,write,49,49000,6101.71,6101.71,0.16,163.88,100%
write,write,55,55000,5294.73,5294.73,0.19,188.86,100%
write,write,45,45000,6661.8,6661.8,0.15,150.11,100%
write,write,36,36000,8126.89,8126.89,0.12,123.05,100%
write,write,45,45000,6181.44,6181.44,0.16,161.77,100%
write,write,38,38000,7694.95,7694.95,0.13,129.95,100%
write,write,40,40000,7198.28,7198.28,0.14,138.92,100%
write,write,34,34000,8728.85,8728.85,0.11,114.56,100%
write,write,46,46000,6363.83,6363.83,0.16,157.13,100%
write,write,41,41000,6670.49,6670.49,0.15,149.91,100%
write,write,44,44000,6810.25,6810.25,0.15,146.83,100%
write,write,40,40000,7488.82,7488.82,0.13,133.53,100%
write,write,40,40000,7439.18,7439.18,0.13,134.42,100%
write,write,43,43000,6795.49,6795.49,0.15,147.16,100%
write,write,59,59000,5045.56,5045.56,0.2,198.19,100%
write,write,39,39000,6875,6875,0.15,145.45,100%
write,write,39,39000,7373.64,7373.64,0.14,135.61,100%
write,write,29,29000,10189.07,10189.07,0.1,98.14,100%
write,write,36,36000,8320.69,8320.69,0.12,120.18,100%
write,write,37,37000,8087.84,8087.84,0.12,123.64,100%
write,write,56,56000,5233.14,5233.14,0.19,191.08,100%
write,write,32,32000,9201.78,9201.78,0.11,108.67,100%
write,write,39,39000,7644.21,7644.21,0.13,130.81,100%
write,write,42,42000,7009.24,7009.24,0.14,142.67,100%
write,write,49,49000,5935.2,5935.2,0.17,168.48,100%
write,write,50,50000,5897.3,5897.3,0.17,169.56,100%
write,write,45,45000,6476.64,6476.64,0.15,154.4,100%
write,write,44,44000,6217.61,6217.61,0.16,160.83,100%
write,write,40,40000,7476.75,7476.75,0.13,133.74,100%
write,write,31,31000,9543.71,9543.71,0.1,104.78,100%
write,write,46,46000,6484.93,6484.93,0.15,154.2,100%
write,write,46,46000,6322.59,6322.59,0.16,158.15,100%
write,write,35,35000,7712.29,7712.29,0.13,129.66,100%
write,write,41,41000,7217.32,7217.32,0.14,138.55,100%
write,write,33,33000,9027.58,9027.58,0.11,110.77,100%
write,write,49,49000,5889.8,5889.8,0.17,169.78,100%
write,write,36,36000,8136.81,8136.81,0.12,122.9,100%
write,write,40,40000,7491.18,7491.18,0.13,133.49,100%
write,write,45,45000,6642.69,6642.69,0.15,150.54,100%
write,write,38,38000,7809.32,7809.32,0.13,128.05,100%
write,write,40,40000,7333.6,7333.6,0.14,136.35,100%
write,write,55,55000,5331.07,5331.07,0.19,187.57,100%
write,write,49,49000,5765.33,5765.33,0.17,173.44,100%
write,write,32,32000,8501.5,8501.5,0.12,117.62,100%
write,write,48,48000,6220.31,6220.31,0.16,160.76,100%
write,write,26,26000,11531.81,11531.81,0.09,86.72,100%
write,write,30,30000,9791.77,9791.77,0.1,102.12,100%
write,write,49,49000,6101.96,6101.96,0.16,163.88,100%
write,write,38,38000,7057.5,7057.5,0.14,141.69,100%
write,write,48,48000,6222.69,6222.69,0.16,160.7,100%
write,write,42,42000,6864.98,6864.98,0.15,145.66,100%
write,write,42,42000,7010.9,7010.9,0.14,142.63,100%
write,write,41,41000,6779.49,6779.49,0.15,147.5,100%
write,write,37,37000,7776.14,7776.14,0.13,128.6,100%
write,write,40,40000,7167.5,7167.5,0.14,139.52,100%
write,write,53,53000,5646.77,5646.77,0.18,177.09,100%
write,write,54,54000,5517.89,5517.89,0.18,181.22,100%
write,write,43,43000,6860.58,6860.58,0.15,145.75,100%
write,write,53,53000,5542.13,5542.13,0.18,180.43,100%
write,write,43,43000,6244.86,6244.86,0.16,160.13,100%
write,write,37,37000,8021.89,8021.89,0.12,124.66,100%
write,write,49,49000,5980.82,5980.82,0.17,167.2,100%
write,write,57,57000,5250.02,5250.02,0.19,190.47,100%
write,write,35,35000,7717.94,7717.94,0.13,129.56,100%
write,write,41,41000,7293.24,7293.24,0.14,137.11,100%
write,write,34,34000,8167.71,8167.71,0.12,122.43,100%
write,write,58,58000,5109.6,5109.6,0.2,195.7,100%
write,write,38,38000,7889.39,7889.39,0.13,126.75,100%
