Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

09:24:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:03 PM  all   50.87    0.00   19.70   10.11    0.00    3.88    0.00    0.00    0.00   15.43
09:24:04 PM  all   55.78    0.00   23.90    5.61    0.00    4.18    0.00    0.00    0.00   10.53
09:24:05 PM  all   55.46    0.00   21.53    7.11    0.00    4.33    0.00    0.00    0.00   11.57
09:24:06 PM  all   36.38    0.00   14.40   19.32    0.00    2.31    0.00    0.00    0.00   27.59
09:24:07 PM  all   35.46    0.00   14.61   19.74    0.00    2.48    0.00    0.00    0.00   27.71
09:24:08 PM  all   37.93    0.00   14.80   18.21    0.00    2.08    0.00    0.00    0.00   26.98
09:24:09 PM  all   39.25    0.00   15.19   16.61    0.00    2.89    0.00    0.00    0.00   26.07
09:24:10 PM  all   37.10    0.00   16.31   16.71    0.00    2.44    0.00    0.00    0.00   27.44
09:24:11 PM  all   26.61    0.00   13.80   26.66    0.00    1.97    0.00    0.00    0.00   30.96
09:24:12 PM  all   11.22    0.00    6.84   54.06    0.00    0.70    0.00    0.00    0.00   27.18
09:24:13 PM  all    4.53    0.00    3.46   62.56    0.00    0.34    0.00    0.00    0.00   29.10
09:24:14 PM  all   10.89    0.00    6.45   45.79    0.00    0.66    0.00    0.00    0.00   36.22
09:24:15 PM  all   12.39    0.00    6.38   29.20    0.00    0.94    0.00    0.00    0.00   51.09
09:24:16 PM  all   40.16    0.00   19.15   10.71    0.00    2.67    0.00    0.00    0.00   27.32
09:24:17 PM  all   42.99    0.00   16.28   11.24    0.00    2.43    0.00    0.00    0.00   27.07
09:24:18 PM  all   40.65    0.00   14.74   13.22    0.00    2.49    0.00    0.00    0.00   28.90
09:24:19 PM  all   37.08    0.00   14.67   18.94    0.00    2.36    0.00    0.00    0.00   26.95
09:24:20 PM  all   48.78    0.00   18.91   13.06    0.00    3.14    0.00    0.00    0.00   16.11
09:24:21 PM  all   29.18    0.00   12.82   21.67    0.00    2.10    0.00    0.00    0.00   34.23
09:24:22 PM  all   52.99    0.00   19.53   11.35    0.00    3.21    0.00    0.00    0.00   12.93
09:24:23 PM  all   33.83    0.00   13.18   10.42    0.00    2.63    0.00    0.00    0.00   39.95
09:24:24 PM  all   30.15    0.00   12.86   21.42    0.00    1.97    0.00    0.00    0.00   33.60
09:24:25 PM  all   36.02    0.00   14.11   18.55    0.00    2.28    0.00    0.00    0.00   29.03
09:24:26 PM  all   39.06    0.00   17.09   18.87    0.04    2.57    0.00    0.00    0.00   22.36
09:24:27 PM  all   37.30    0.00   15.95   20.24    0.00    2.34    0.00    0.00    0.00   24.17
09:24:28 PM  all   12.69    0.00    6.64   28.98    0.00    0.68    0.00    0.00    0.00   51.02
09:24:29 PM  all    5.49    0.00    5.26   25.37    0.00    0.72    0.00    0.00    0.00   63.16
09:24:30 PM  all    5.30    0.00    4.27   34.13    0.00    0.67    0.00    0.00    0.00   55.64
09:24:31 PM  all    6.40    0.00    4.33   13.56    0.00    0.50    0.00    0.00    0.00   75.21
09:24:32 PM  all    8.57    0.00    3.17    8.57    0.00    0.54    0.00    0.00    0.00   79.15
09:24:33 PM  all    6.39    0.00    5.93   13.33    0.00    0.55    0.00    0.00    0.00   73.81
09:24:34 PM  all    8.55    0.00    4.71    2.88    0.00    1.05    0.00    0.00    0.00   82.81
09:24:35 PM  all   29.97    0.00   11.77    0.59    0.00    1.87    0.00    0.00    0.00   55.79
09:24:36 PM  all   33.94    0.00   14.08    2.93    0.00    2.30    0.00    0.00    0.00   46.75
09:24:37 PM  all   55.43    0.00   21.29    8.01    0.00    3.76    0.00    0.00    0.00   11.51
09:24:38 PM  all   51.92    0.00   19.33    9.99    0.00    3.66    0.00    0.00    0.00   15.10
09:24:39 PM  all   56.92    0.00   20.98    7.74    0.00    3.55    0.00    0.00    0.00   10.81
09:24:40 PM  all   49.27    0.00   19.57   12.80    0.00    3.10    0.00    0.00    0.00   15.26
09:24:41 PM  all   17.00    0.00    9.95   26.31    0.00    1.45    0.00    0.00    0.00   45.30
09:24:42 PM  all   14.46    0.00    6.19   13.08    0.00    0.83    0.00    0.00    0.00   65.43
09:24:43 PM  all   21.91    0.00    8.70   13.80    0.00    1.69    0.00    0.00    0.00   53.90
09:24:44 PM  all   42.63    0.00   16.35   13.01    0.00    2.58    0.00    0.00    0.00   25.43
09:24:45 PM  all   36.28    0.00   14.71   18.70    0.00    2.42    0.00    0.00    0.00   27.89
09:24:46 PM  all   29.67    0.00   13.17   30.11    0.00    2.22    0.00    0.00    0.00   24.83
09:24:47 PM  all   10.05    0.00    4.46   32.13    0.00    0.54    0.00    0.00    0.00   52.82
