Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.45    0.00    3.58    1.57    0.00   86.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdx               0.00    11.00    0.00   50.00     0.00 34908.00  1396.32     9.21  137.28    0.00  137.28  19.84  99.20
sdy               0.00    16.00    0.00   41.00     0.00 36240.00  1767.80     9.49  180.10    0.00  180.10  24.20  99.20
sds               0.00    16.00    1.00   34.00     8.00 23952.00  1369.14     7.19  206.17  288.00  203.76  27.89  97.60
sdq               0.00    18.00    0.00   40.00     0.00 33436.00  1671.80     9.14  242.70    0.00  242.70  24.80  99.20
sdz               0.00    28.00    0.00   23.00     0.00   300.00    26.09     1.87   28.35    0.00   28.35  11.13  25.60
dm-0              0.00     0.00    0.00   67.00     0.00   376.00    11.22     2.47   17.55    0.00   17.55   3.82  25.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          55.78    0.00   28.08    5.61    0.00   10.53

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    24.00    0.00   53.00     0.00 49016.00  1849.66    10.00  228.75    0.00  228.75  18.87 100.00
sdb               0.00    11.00    0.00   45.00     0.00 36504.00  1622.40     7.94  224.80    0.00  224.80  22.22 100.00
sdc               0.00    24.00    0.00   57.00     0.00 48776.00  1711.44    11.64  229.96    0.00  229.96  17.54 100.00
sdd               0.00    26.00    1.00   60.00     8.00 54744.00  1795.15    10.97  219.93  216.00  220.00  16.39 100.00
sdf               0.00    23.00    0.00   47.00     0.00 43808.00  1864.17    10.17  243.06    0.00  243.06  21.28 100.00
sde               0.00    24.00    0.00   54.00     0.00 49028.00  1815.85     9.79  205.41    0.00  205.41  18.52 100.00
sdg               0.00    24.00    0.00   54.00     0.00 53396.00  1977.63     9.95  229.70    0.00  229.70  18.52 100.00
sdh               0.00    12.00    0.00   38.00     0.00 32728.00  1722.53     7.74  207.58    0.00  207.58  26.32 100.00
sdi               0.00    20.00    0.00   54.00     0.00 50536.00  1871.70     9.84  206.81    0.00  206.81  18.52 100.00
sdj               0.00    14.00    1.00   40.00     8.00 35472.00  1730.73     7.76  206.05  108.00  208.50  24.39 100.00
sdk               0.00    29.00    0.00   55.00     0.00 53136.00  1932.22     9.90  220.36    0.00  220.36  18.18 100.00
sdl               0.00    21.00    0.00  184.00     0.00 46563.00   506.12    38.60  334.85    0.00  334.85   5.43 100.00
sdm               0.00    30.00    0.00   53.00     0.00 50592.00  1909.13    10.06  220.53    0.00  220.53  18.87 100.00
sdo               0.00    21.00    0.00   51.00     0.00 52420.00  2055.69     9.69  215.45    0.00  215.45  19.61 100.00
sdn               0.00    31.00    0.00   58.00     0.00 57368.00  1978.21    11.18  204.48    0.00  204.48  17.31 100.40
sdp               0.00    26.00    0.00   50.00     0.00 53180.00  2127.20     9.56  220.16    0.00  220.16  20.08 100.40
sdr               0.00    26.00    1.00   58.00     8.00 54192.00  1837.29    11.04  226.51  220.00  226.62  17.02 100.40
sdt               0.00    24.00    0.00   47.00     0.00 50004.00  2127.83     9.48  221.02    0.00  221.02  21.36 100.40
sdu               0.00    12.00    0.00   48.00     0.00 41460.00  1727.50     8.88  246.00    0.00  246.00  20.92 100.40
sdv               0.00    19.00    0.00   52.00     0.00 49004.00  1884.77    10.07  233.15    0.00  233.15  19.31 100.40
sdw               0.00    18.00    1.00   45.00     4.00 38928.00  1692.70    11.17  292.43  396.00  290.13  21.83 100.40
sdx               0.00    12.00    0.00   41.00     0.00 35704.00  1741.66     8.41  248.59    0.00  248.59  24.49 100.40
sdy               0.00    13.00    1.00   42.00     8.00 38088.00  1771.91     7.95  236.37  152.00  238.38  23.35 100.40
sds               0.00    19.00    0.00   52.00     0.00 46696.00  1796.00    10.34  188.08    0.00  188.08  19.31 100.40
sdq               0.00    22.00    1.00   53.00     4.00 50604.00  1874.37     9.37  199.63  136.00  200.83  18.59 100.40
sdz               0.00    25.00    0.00   38.00     0.00   640.00    33.68     1.34   67.16    0.00   67.16   7.37  28.00
dm-0              0.00     0.00    0.00   47.00     0.00   564.00    24.00     1.85   66.89    0.00   66.89   5.96  28.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          55.44    0.00   25.86    7.10    0.00   11.61

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    23.00    0.00   51.00     0.00 46144.00  1809.57    10.58  203.92    0.00  203.92  19.69 100.40
sdb               0.00    10.00    0.00   37.00     0.00 30048.00  1624.22     8.46  209.41    0.00  209.41  27.14 100.40
sdc               0.00    51.00    1.00  210.00     8.00 47515.50   450.46    50.03  202.75  204.00  202.74   4.76 100.40
sdd               0.00    58.00    4.00  202.00    32.00 44909.00   436.32    48.84  200.95  203.00  200.91   4.87 100.40
sdf               0.00    17.00    0.00   47.00     0.00 42548.00  1810.55    10.62  209.96    0.00  209.96  21.36 100.40
sde               0.00    29.00    0.00   55.00     0.00 55520.00  2018.91    11.04  197.16    0.00  197.16  18.25 100.40
sdg               0.00    24.00    0.00   49.00     0.00 42800.00  1746.94    10.96  210.86    0.00  210.86  20.49 100.40
sdh               0.00     9.00    0.00   38.00     0.00 26660.00  1403.16     8.11  210.74    0.00  210.74  26.42 100.40
sdi               0.00    15.00    0.00   53.00     0.00 45596.00  1720.60    10.60  199.85    0.00  199.85  18.94 100.40
sdj               0.00    21.00    0.00   45.00     0.00 41712.00  1853.87     8.21  196.71    0.00  196.71  22.31 100.40
sdk               0.00    22.00    0.00   52.00     0.00 50808.00  1954.15    10.97  210.38    0.00  210.38  19.31 100.40
