Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

10:37:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:38:39 AM  all   72.55    0.00   12.34    0.00    0.00    1.70    0.00    0.00    0.00   13.40
10:38:40 AM  all   68.65    0.00   12.27    0.00    0.00    1.35    0.00    0.00    0.00   17.73
10:38:41 AM  all   72.11    0.00   12.48    0.00    0.00    1.67    0.00    0.00    0.00   13.73
10:38:42 AM  all   64.77    0.00   12.02    0.00    0.00    1.11    0.00    0.00    0.00   22.10
10:38:43 AM  all   65.22    0.00   12.39    0.00    0.00    1.47    0.00    0.00    0.00   20.92
10:38:44 AM  all   64.50    0.00   12.11    0.00    0.00    1.36    0.00    0.00    0.00   22.03
10:38:45 AM  all   64.04    0.00   10.86    0.00    0.00    1.45    0.00    0.00    0.00   23.65
10:38:46 AM  all   70.93    0.00   12.19    0.00    0.00    1.16    0.00    0.00    0.00   15.71
10:38:47 AM  all   60.40    0.00   10.29    0.00    0.00    1.29    0.00    0.00    0.00   28.02
10:38:48 AM  all   62.46    0.00   11.03    0.00    0.00    1.10    0.00    0.00    0.00   25.41
10:38:49 AM  all   70.80    0.00   13.05    0.00    0.00    1.25    0.00    0.00    0.00   14.90
10:38:50 AM  all   69.37    0.00   12.46    0.00    0.00    1.39    0.00    0.00    0.00   16.78
10:38:51 AM  all   63.37    0.00   10.06    0.00    0.04    1.32    0.00    0.00    0.00   25.21
10:38:52 AM  all   68.04    0.00   12.76    0.00    0.00    1.58    0.00    0.00    0.00   17.62
10:38:53 AM  all   68.44    0.00   10.68    0.04    0.00    1.05    0.00    0.00    0.00   19.79
10:38:54 AM  all   73.79    0.00   10.83    0.00    0.00    1.39    0.00    0.00    0.00   13.99
10:38:55 AM  all   66.33    0.00   11.84    0.00    0.00    1.75    0.00    0.00    0.00   20.08
10:38:56 AM  all   64.23    0.00   11.18    0.00    0.00    1.23    0.00    0.00    0.00   23.37
10:38:57 AM  all   71.15    0.00   11.85    0.00    0.00    1.42    0.00    0.00    0.00   15.59
10:38:58 AM  all   62.28    0.00   12.41    0.04    0.00    1.19    0.00    0.00    0.00   24.08
10:38:59 AM  all   70.70    0.00   12.56    0.00    0.00    1.29    0.00    0.00    0.00   15.45
10:39:00 AM  all   66.27    0.00   11.79    0.00    0.00    1.10    0.00    0.00    0.00   20.84
10:39:01 AM  all   69.91    0.00   13.62    0.00    0.00    1.16    0.00    0.00    0.00   15.30
10:39:02 AM  all   68.30    0.00   11.09    0.00    0.00    1.34    0.00    0.00    0.00   19.27
10:39:03 AM  all   65.22    0.00   11.88    0.00    0.00    1.40    0.00    0.00    0.00   21.49
10:39:04 AM  all   70.66    0.00   13.14    0.00    0.00    1.51    0.00    0.00    0.00   14.69
10:39:05 AM  all   59.25    0.00   10.31    0.00    0.00    0.97    0.00    0.00    0.00   29.47
10:39:06 AM  all   79.53    0.00   10.58    0.00    0.00    1.02    0.00    0.00    0.00    8.87
10:39:07 AM  all   68.84    0.00   12.68    0.00    0.00    1.13    0.00    0.00    0.00   17.35
10:39:08 AM  all   70.96    0.00   11.98    0.00    0.00    1.22    0.00    0.00    0.00   15.84
10:39:09 AM  all   71.52    0.00   11.08    0.00    0.00    1.13    0.00    0.00    0.00   16.28
10:39:10 AM  all   69.11    0.00   11.39    0.00    0.00    1.08    0.00    0.00    0.00   18.42
10:39:11 AM  all   64.93    0.00   10.92    0.00    0.00    1.32    0.00    0.00    0.00   22.84
10:39:12 AM  all   65.70    0.00   11.97    0.00    0.00    1.13    0.00    0.00    0.00   21.21
10:39:13 AM  all   64.71    0.00   11.98    0.00    0.00    1.45    0.00    0.00    0.00   21.86
10:39:14 AM  all   64.73    0.00   11.16    0.00    0.00    1.05    0.00    0.00    0.00   23.06
10:39:15 AM  all   73.50    0.00   12.33    0.00    0.00    1.33    0.00    0.00    0.00   12.84
10:39:16 AM  all   69.32    0.00   12.98    0.00    0.00    1.61    0.00    0.00    0.00   16.08
10:39:17 AM  all   63.43    0.00   11.62    0.00    0.00    1.19    0.00    0.00    0.00   23.76
10:39:18 AM  all   67.80    0.00   13.27    0.00    0.00    1.52    0.00    0.00    0.00   17.41
10:39:19 AM  all   73.43    0.00   12.45    0.00    0.00    1.16    0.00    0.00    0.00   12.97
10:39:20 AM  all   68.20    0.00   12.67    0.00    0.00    1.30    0.00    0.00    0.00   17.83
