       p2p2       
 KB/s in  KB/s out
  807.32    787.45
 2181.43   1998.39
 2650.97   2089.22
 2341.50   1787.61
 2225.18   1571.69
 2455.90   1910.90
 2204.86   1871.49
 2497.67   1866.54
 2707.19   2190.88
 2033.54   1977.40
 2273.40   1561.13
 2674.16   2125.48
 2319.32   1829.65
 2504.21   2069.06
       p2p2       
 KB/s in  KB/s out
 2182.00   1617.72
 2554.56   2065.87
 2025.60   1599.73
 2210.75   1708.50
 2539.61   1971.01
 2267.58   1892.59
 2275.90   1741.26
 2151.09   1692.97
 2287.52   1763.92
 2076.17   1474.95
 2341.35   1771.67
 2245.40   1724.69
 2337.13   1906.92
 2379.42   1920.42
 2206.51   1562.06
 2530.37   1846.59
 2053.06   1654.22
 2260.03   2051.90
 2144.69   1599.99
 2549.98   2095.18
 2628.30   2006.29
 2278.92   1668.68
       p2p2       
 KB/s in  KB/s out
 2442.58   2001.60
 2214.28   1733.51
 2435.16   1869.33
 2412.42   1928.97
 2336.31   1841.57
 1824.28   1546.51
 2300.71   1657.42
 2406.57   1942.03
 2265.91   1840.58
 2183.66   1709.78
 2464.26   1864.48
 2206.59   1602.57
 2419.97   1892.20
 2377.95   1809.38
 2338.74   1823.83
 2497.52   2238.85
 2515.87   1758.13
 2194.76   1638.54
 2199.75   1600.49
 2367.37   1828.65
 2117.05   1591.87
 2099.11   1689.81
       p2p2       
 KB/s in  KB/s out
 2308.71   1704.67
 2439.80   1935.78
 2314.58   1814.80
 2295.16   1851.01
 2310.87   1658.87
 2360.05   1763.07
 2232.05   1603.05
 2095.38   1748.43
 3133.18   2506.11
 2242.37   1687.90
 2793.39   1912.14
 2308.61   1682.08
 2060.11   1838.19
 2543.35   2278.82
 2283.92   1672.38
 2442.56   1936.66
 2589.04   2101.27
 2175.35   1785.65
 2426.43   1894.82
 2576.76   1993.69
 2056.27   1514.49
 2396.76   1905.81
       p2p2       
 KB/s in  KB/s out
 2293.39   1932.51
 2096.25   1520.88
 2437.23   2029.12
 2510.14   2006.27
 2112.67   1751.70
 2278.07   1765.91
 2213.32   1785.26
 2463.10   1830.13
 2316.45   1624.40
 2338.41   1788.49
 2464.79   2046.94
 2168.68   1814.40
 2117.10   1661.66
 2260.19   1709.89
 2491.92   1843.06
 2059.53   1506.34
 2360.79   1914.54
 2471.00   1994.71
 2593.97   2145.11
 2497.52   1908.00
 2014.57   1510.98
 2049.82   1673.39
       p2p2       
 KB/s in  KB/s out
 2413.10   1964.47
 2326.55   1844.64
 2255.09   1573.49
 2454.50   1958.02
 2180.60   1816.07
 2562.21   2022.94
 2471.64   1922.17
 2276.35   1752.69
 2287.47   1646.72
 2053.40   1767.33
 2349.14   1800.48
 2397.13   1801.59
 2406.53   1812.87
 2330.12   1801.98
 2373.38   1813.16
 2350.99   1711.07
 2386.30   1725.51
 2466.88   2019.66
 2323.53   1994.65
 2446.34   1968.93
 2336.96   1849.29
 1502.78   1099.76
       p2p2       
 KB/s in  KB/s out
 1091.13    803.31
  794.44    601.32
  930.37    753.10
  670.93    491.72
  727.76    654.56
