Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
11:12:13,478,489472000,224.02,100.55,93.65,95900498.11,100%,0,0,0
11:12:18,354,362496000,257.66,120.32,66.01,67598698.36,100%,1,1,1
11:12:23,523,535552000,271.34,105.8,152.78,156447236.34,100%,2,2,2
11:12:28,611,625664000,274.83,108.96,132.51,135686702.22,100%,3,3,3
11:12:33,590,604160000,273.59,109.5,113.32,116043289.69,100%,4,4,4
11:12:38,615,629760000,266.66,102.45,121.31,124221909.76,98.87%,5,5,5
11:12:43,605,619520000,265.03,109.96,116.08,118870576.67,93.36%,6,6,6
11:12:48,614,628736000,260.12,105.65,118.57,121412358.4,91.64%,7,7,7
11:12:53,605,619520000,256.23,100.92,115.98,118761064.47,88.19%,8,8,8
11:12:58,603,617472000,256.68,102.56,117.11,119925639.74,89.07%,9,9,9
11:13:03,617,631808000,247.22,97.05,118.38,121221788.86,87.15%,10,10,10
11:13:08,414,423936000,246.52,95.42,125.11,128112269.04,89.03%,11,11,11
11:13:13,64,65536000,316.36,119.12,21.62,22140926.93,91.43%,12,12,12
