Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
11:16:31,8,131072000,636.25,430.88,1.57,25745825.97,100%,0,0,0
11:16:36,29,475136000,562.14,359.93,5.33,87384414.39,100%,1,1,1
11:16:41,37,606208000,587.35,391.86,8.49,139175605.08,100%,2,2,2
11:16:46,34,557056000,615.53,416.88,6.49,106394058.66,100%,3,3,3
11:16:51,33,540672000,726.76,507.03,5.5,90073807.06,100%,4,4,4
11:16:56,34,557056000,638.97,420.15,6.26,102592483.67,100%,5,5,5
11:17:01,37,606208000,563.62,375.24,7.01,114783920.7,88.1%,6,6,6
11:17:06,30,491520000,701.03,504.47,5.63,92276873.61,90.91%,7,7,7
11:17:11,32,524288000,657.72,474.34,5.97,97814530.56,88.89%,8,8,8
11:17:16,37,606208000,573.57,369.73,6.84,112124426.22,86.05%,9,9,9
11:17:21,34,557056000,640,469.12,6.13,100414934.67,82.93%,10,10,10
11:17:26,12,196608000,610.17,432.58,4.7,77050236.71,100%,11,11,11
11:17:31,1,16384000,704,571,1.42,23272727.27,100%,12,12,12
