Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s16-1m-16t,write,write,7139,7310336000,134.19,91.48,120,160,230,330,480,1670,119.18,122036365.25,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:11:03,submitting @ 2015-11-07 11:11:01,authing @ 2015-11-07 11:11:01,launching @ 2015-11-07 11:11:01,running @ 2015-11-07 11:11:01,closing @ 2015-11-07 11:12:06,completed @ 2015-11-07 11:12:06
s17-1m-32t,write,write,7134,7305216000,259.29,104.52,220,360,470,650,1120,2100,119.24,122106104.47,93.65%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:12:08,submitting @ 2015-11-07 11:12:06,authing @ 2015-11-07 11:12:06,launching @ 2015-11-07 11:12:06,running @ 2015-11-07 11:12:06,closing @ 2015-11-07 11:13:11,completed @ 2015-11-07 11:13:11
s18-1m-64t,write,write,7116,7286784000,517.44,133.94,470,780,1110,1350,2000,7980,119.41,122277007.53,89.92%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:13:13,submitting @ 2015-11-07 11:13:11,authing @ 2015-11-07 11:13:11,launching @ 2015-11-07 11:13:11,running @ 2015-11-07 11:13:11,closing @ 2015-11-07 11:14:16,completed @ 2015-11-07 11:14:16
s19-1m-128t,write,write,7089,7259136000,1066.99,180.22,1080,1620,2080,2480,3490,9690,119.92,122796891.85,99.59%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:14:18,submitting @ 2015-11-07 11:14:16,authing @ 2015-11-07 11:14:16,launching @ 2015-11-07 11:14:16,running @ 2015-11-07 11:14:16,closing @ 2015-11-07 11:15:21,completed @ 2015-11-07 11:15:21
s20-16m-1t,write,write,98,1605632000,602.72,421.16,620,700,740,830,960,1040,1.65,27012196.97,95.15%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:15:24,submitting @ 2015-11-07 11:15:24,authing @ 2015-11-07 11:15:24,launching @ 2015-11-07 11:15:24,running @ 2015-11-07 11:15:24,closing @ 2015-11-07 11:16:24,completed @ 2015-11-07 11:16:24
s21-16m-4t,write,write,379,6209536000,623.01,423.51,620,700,790,930,1520,1950,6.36,104247222.14,92.89%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:16:26,submitting @ 2015-11-07 11:16:24,authing @ 2015-11-07 11:16:24,launching @ 2015-11-07 11:16:24,running @ 2015-11-07 11:16:24,closing @ 2015-11-07 11:17:29,completed @ 2015-11-07 11:17:29
s22-16m-16t,write,write,440,7208960000,2127.69,152.18,2140,2950,3570,4090,4970,5750,7.51,123027201.51,96.7%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:17:31,submitting @ 2015-11-07 11:17:29,authing @ 2015-11-07 11:17:29,launching @ 2015-11-07 11:17:29,running @ 2015-11-07 11:17:29,closing @ 2015-11-07 11:18:34,completed @ 2015-11-07 11:18:34
s23-16m-32t,write,write,433,7094272000,4268.62,137.82,4490,5860,6850,7710,9680,11960,7.5,122811667.4,98.63%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:18:36,submitting @ 2015-11-07 11:18:34,authing @ 2015-11-07 11:18:34,launching @ 2015-11-07 11:18:34,running @ 2015-11-07 11:18:34,closing @ 2015-11-07 11:19:39,completed @ 2015-11-07 11:19:39
s24-16m-64t,write,write,415,6799360000,8527.44,176.55,8800,11800,14110,16290,18820,25050,7.51,123062068.39,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:19:41,submitting @ 2015-11-07 11:19:39,authing @ 2015-11-07 11:19:39,launching @ 2015-11-07 11:19:39,running @ 2015-11-07 11:19:39,closing @ 2015-11-07 11:20:54,completed @ 2015-11-07 11:20:54
s25-16m-128t,write,write,384,6291456000,16955.54,229.52,17520,21720,24400,27050,30360,36360,7.54,123575635.19,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:20:56,submitting @ 2015-11-07 11:20:54,authing @ 2015-11-07 11:20:54,launching @ 2015-11-07 11:20:54,running @ 2015-11-07 11:20:54,closing @ 2015-11-07 11:22:04,completed @ 2015-11-07 11:22:04
s26-64m-1t,write,write,27,1769472000,2196.11,483.52,2220,2430,2720,2720,2910,3270,0.46,29840835.12,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:22:06,submitting @ 2015-11-07 11:22:04,authing @ 2015-11-07 11:22:04,launching @ 2015-11-07 11:22:04,running @ 2015-11-07 11:22:04,closing @ 2015-11-07 11:23:09,completed @ 2015-11-07 11:23:09
s27-64m-4t,write,write,104,6815744000,2215.86,560.25,2160,2390,2780,3260,3990,7850,1.8,118226648.88,97.2%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:23:11,submitting @ 2015-11-07 11:23:09,authing @ 2015-11-07 11:23:09,launching @ 2015-11-07 11:23:09,running @ 2015-11-07 11:23:09,closing @ 2015-11-07 11:24:19,completed @ 2015-11-07 11:24:19
s28-64m-16t,write,write,105,6881280000,8462.1,146.92,8680,10740,11640,13090,20500,21000,1.89,124081398.33,98.13%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:24:21,submitting @ 2015-11-07 11:24:19,authing @ 2015-11-07 11:24:19,launching @ 2015-11-07 11:24:19,running @ 2015-11-07 11:24:19,closing @ 2015-11-07 11:25:29,completed @ 2015-11-07 11:25:29
s29-64m-32t,write,write,96,6291456000,15650.45,128.91,15980,21920,31290,33770,37540,39920,2.12,138795404.24,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:25:31,submitting @ 2015-11-07 11:25:29,authing @ 2015-11-07 11:25:29,launching @ 2015-11-07 11:25:29,running @ 2015-11-07 11:25:29,closing @ 2015-11-07 11:26:39,completed @ 2015-11-07 11:26:39
s30-64m-64t,write,write,81,5308416000,32560.6,162.72,35540,37860,38670,39580,44320,46460,1.93,126633501.27,98.78%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:26:41,submitting @ 2015-11-07 11:26:39,authing @ 2015-11-07 11:26:39,launching @ 2015-11-07 11:26:39,running @ 2015-11-07 11:26:39,closing @ 2015-11-07 11:27:59,completed @ 2015-11-07 11:27:59
s31-64m-128t,write,write,56,3670016000,54884.02,166.84,56270,57650,58830,59430,59740,59920,1.02,67164100.39,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:28:01,submitting @ 2015-11-07 11:27:59,authing @ 2015-11-07 11:27:59,launching @ 2015-11-07 11:27:59,running @ 2015-11-07 11:27:59,closing @ 2015-11-07 11:29:39,completed @ 2015-11-07 11:29:39
