       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  267486.1  317577.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  288183.7  207062.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  285954.3  168217.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  483781.4  256471.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  183074.6  274190.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  274688.0  243800.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  380336.2  258010.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  253034.5  404322.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  263711.8  285991.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  208830.6  265938.7
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  332668.9  114572.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  186163.9  132945.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  313502.6  206489.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  322418.0  143908.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  315043.5  342351.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.33      0.00      0.00  463746.3  265196.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  282234.3  205015.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  207718.7  282664.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  223946.6  193283.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  397900.9  236822.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  273371.6  303970.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00  292697.2  184108.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  380332.4  163898.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  192602.3  187217.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  269696.0  261936.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  346198.3  129830.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  297440.6  210864.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  295596.9  210168.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  267613.8  146299.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  272767.7  157930.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  211326.4  305060.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  165229.4  225539.1
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  231236.3  163261.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  297515.9  199165.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00  194026.3  222557.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  240573.0  288363.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  274012.1  182795.0
