================================================== stage: s1-64m-1t ==================================================
---------------------------------- mission: M7E24F0CD29, driver: driver1 ----------------------------------
2015-11-07 14:18:26,007 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/M3E25002047.log
2015-11-07 14:18:26,063 [INFO] [NoneStorage] - performing GET at /dssreadbench41/3myobject
2015-11-07 14:18:26,063 [INFO] [NoneStorage] - performing GET at /dssreadbench43/2myobject
2015-11-07 14:18:26,063 [INFO] [NoneStorage] - performing GET at /dssreadbench42/4myobject
2015-11-07 14:18:26,063 [INFO] [NoneStorage] - performing GET at /dssreadbench50/1myobject
2015-11-07 14:18:27,006 [INFO] [NoneStorage] - performing GET at /dssreadbench48/5myobject
2015-11-07 14:18:27,156 [INFO] [NoneStorage] - performing GET at /dssreadbench42/6myobject
2015-11-07 14:18:28,327 [INFO] [NoneStorage] - performing GET at /dssreadbench42/7myobject
2015-11-07 14:18:28,383 [INFO] [NoneStorage] - performing GET at /dssreadbench42/8myobject
2015-11-07 14:18:28,561 [INFO] [NoneStorage] - performing GET at /dssreadbench44/9myobject
2015-11-07 14:18:29,536 [INFO] [NoneStorage] - performing GET at /dssreadbench45/10myobject
2015-11-07 14:18:29,771 [INFO] [NoneStorage] - performing GET at /dssreadbench43/1myobject
2015-11-07 14:18:29,788 [INFO] [NoneStorage] - performing GET at /dssreadbench42/2myobject
2015-11-07 14:18:31,040 [INFO] [NoneStorage] - performing GET at /dssreadbench49/3myobject
2015-11-07 14:18:31,667 [INFO] [NoneStorage] - performing GET at /dssreadbench46/4myobject
2015-11-07 14:18:31,743 [INFO] [NoneStorage] - performing GET at /dssreadbench46/5myobject
2015-11-07 14:18:35,102 [INFO] [NoneStorage] - performing GET at /dssreadbench45/6myobject
2015-11-07 14:18:35,165 [INFO] [NoneStorage] - performing GET at /dssreadbench43/7myobject
2015-11-07 14:18:35,547 [INFO] [NoneStorage] - performing GET at /dssreadbench44/8myobject
2015-11-07 14:18:35,873 [INFO] [NoneStorage] - performing GET at /dssreadbench49/9myobject
2015-11-07 14:18:36,092 [INFO] [NoneStorage] - performing GET at /dssreadbench49/10myobject
2015-11-07 14:18:36,561 [INFO] [NoneStorage] - performing GET at /dssreadbench44/1myobject
2015-11-07 14:18:37,035 [INFO] [NoneStorage] - performing GET at /dssreadbench48/2myobject
2015-11-07 14:18:37,579 [INFO] [NoneStorage] - performing GET at /dssreadbench50/3myobject
2015-11-07 14:18:37,840 [INFO] [NoneStorage] - performing GET at /dssreadbench43/4myobject
2015-11-07 14:18:39,980 [INFO] [NoneStorage] - performing GET at /dssreadbench44/5myobject
2015-11-07 14:18:40,724 [INFO] [NoneStorage] - performing GET at /dssreadbench48/6myobject
2015-11-07 14:18:42,130 [INFO] [NoneStorage] - performing GET at /dssreadbench47/7myobject
2015-11-07 14:18:42,161 [INFO] [NoneStorage] - performing GET at /dssreadbench46/8myobject
2015-11-07 14:18:42,759 [INFO] [NoneStorage] - performing GET at /dssreadbench47/9myobject
2015-11-07 14:18:43,042 [INFO] [NoneStorage] - performing GET at /dssreadbench41/10myobject
2015-11-07 14:18:43,517 [INFO] [NoneStorage] - performing GET at /dssreadbench42/1myobject
2015-11-07 14:18:43,541 [INFO] [NoneStorage] - performing GET at /dssreadbench48/2myobject
2015-11-07 14:18:43,792 [INFO] [NoneStorage] - performing GET at /dssreadbench46/3myobject
2015-11-07 14:18:44,801 [INFO] [NoneStorage] - performing GET at /dssreadbench44/4myobject
2015-11-07 14:18:45,167 [INFO] [NoneStorage] - performing GET at /dssreadbench44/5myobject
2015-11-07 14:18:46,140 [INFO] [NoneStorage] - performing GET at /dssreadbench50/6myobject
2015-11-07 14:18:46,180 [INFO] [NoneStorage] - performing GET at /dssreadbench47/7myobject
2015-11-07 14:18:46,923 [INFO] [NoneStorage] - performing GET at /dssreadbench50/8myobject
2015-11-07 14:18:47,201 [INFO] [NoneStorage] - performing GET at /dssreadbench48/9myobject
2015-11-07 14:18:48,696 [INFO] [NoneStorage] - performing GET at /dssreadbench50/10myobject
2015-11-07 14:18:49,204 [INFO] [NoneStorage] - performing GET at /dssreadbench49/1myobject
2015-11-07 14:18:49,728 [INFO] [NoneStorage] - performing GET at /dssreadbench41/2myobject
2015-11-07 14:18:50,412 [INFO] [NoneStorage] - performing GET at /dssreadbench46/3myobject
2015-11-07 14:18:52,807 [INFO] [NoneStorage] - performing GET at /dssreadbench41/4myobject
2015-11-07 14:18:53,632 [INFO] [NoneStorage] - performing GET at /dssreadbench41/5myobject
2015-11-07 14:18:54,402 [INFO] [NoneStorage] - performing GET at /dssreadbench47/6myobject
2015-11-07 14:18:54,838 [INFO] [NoneStorage] - performing GET at /dssreadbench41/7myobject
2015-11-07 14:18:55,086 [INFO] [NoneStorage] - performing GET at /dssreadbench48/8myobject
2015-11-07 14:18:55,183 [INFO] [NoneStorage] - performing GET at /dssreadbench41/9myobject
2015-11-07 14:18:55,576 [INFO] [NoneStorage] - performing GET at /dssreadbench45/10myobject
2015-11-07 14:18:55,598 [INFO] [NoneStorage] - performing GET at /dssreadbench41/1myobject
2015-11-07 14:18:55,932 [INFO] [NoneStorage] - performing GET at /dssreadbench41/2myobject
2015-11-07 14:18:56,445 [INFO] [NoneStorage] - performing GET at /dssreadbench48/3myobject
2015-11-07 14:18:56,786 [INFO] [NoneStorage] - performing GET at /dssreadbench45/4myobject
2015-11-07 14:18:59,425 [INFO] [NoneStorage] - performing GET at /dssreadbench49/5myobject
2015-11-07 14:19:00,005 [INFO] [NoneStorage] - performing GET at /dssreadbench47/6myobject
2015-11-07 14:19:00,751 [INFO] [NoneStorage] - performing GET at /dssreadbench49/7myobject
2015-11-07 14:19:01,529 [INFO] [NoneStorage] - performing GET at /dssreadbench42/8myobject
2015-11-07 14:19:03,025 [INFO] [NoneStorage] - performing GET at /dssreadbench44/9myobject
2015-11-07 14:19:05,272 [INFO] [NoneStorage] - performing GET at /dssreadbench48/10myobject
2015-11-07 14:19:05,350 [INFO] [NoneStorage] - performing GET at /dssreadbench42/1myobject
2015-11-07 14:19:05,932 [INFO] [NoneStorage] - performing GET at /dssreadbench45/2myobject
2015-11-07 14:19:06,957 [INFO] [NoneStorage] - performing GET at /dssreadbench45/3myobject
2015-11-07 14:19:07,167 [INFO] [NoneStorage] - performing GET at /dssreadbench50/4myobject
2015-11-07 14:19:07,878 [INFO] [NoneStorage] - performing GET at /dssreadbench47/5myobject
2015-11-07 14:19:08,796 [INFO] [NoneStorage] - performing GET at /dssreadbench44/6myobject
2015-11-07 14:19:08,987 [INFO] [NoneStorage] - performing GET at /dssreadbench42/7myobject
2015-11-07 14:19:09,101 [INFO] [NoneStorage] - performing GET at /dssreadbench44/8myobject
2015-11-07 14:19:09,275 [INFO] [NoneStorage] - performing GET at /dssreadbench49/9myobject
2015-11-07 14:19:09,977 [INFO] [NoneStorage] - performing GET at /dssreadbench46/10myobject
2015-11-07 14:19:11,096 [INFO] [NoneStorage] - performing GET at /dssreadbench41/1myobject
2015-11-07 14:19:11,757 [INFO] [NoneStorage] - performing GET at /dssreadbench44/2myobject
2015-11-07 14:19:12,124 [INFO] [NoneStorage] - performing GET at /dssreadbench49/3myobject
2015-11-07 14:19:12,231 [INFO] [NoneStorage] - performing GET at /dssreadbench42/4myobject
2015-11-07 14:19:13,171 [INFO] [NoneStorage] - performing GET at /dssreadbench50/5myobject
2015-11-07 14:19:13,251 [INFO] [NoneStorage] - performing GET at /dssreadbench46/6myobject
2015-11-07 14:19:15,035 [INFO] [NoneStorage] - performing GET at /dssreadbench44/7myobject
2015-11-07 14:19:15,134 [INFO] [NoneStorage] - performing GET at /dssreadbench41/8myobject
2015-11-07 14:19:15,174 [INFO] [NoneStorage] - performing GET at /dssreadbench48/9myobject
2015-11-07 14:19:16,033 [INFO] [NoneStorage] - performing GET at /dssreadbench47/10myobject
2015-11-07 14:19:16,732 [INFO] [NoneStorage] - performing GET at /dssreadbench45/1myobject
2015-11-07 14:19:16,911 [INFO] [NoneStorage] - performing GET at /dssreadbench45/2myobject
2015-11-07 14:19:17,473 [INFO] [NoneStorage] - performing GET at /dssreadbench45/3myobject
2015-11-07 14:19:18,446 [INFO] [NoneStorage] - performing GET at /dssreadbench46/4myobject
2015-11-07 14:19:18,555 [INFO] [NoneStorage] - performing GET at /dssreadbench47/5myobject
2015-11-07 14:19:18,874 [INFO] [NoneStorage] - performing GET at /dssreadbench43/6myobject
2015-11-07 14:19:19,390 [INFO] [NoneStorage] - performing GET at /dssreadbench46/7myobject
2015-11-07 14:19:20,241 [INFO] [NoneStorage] - performing GET at /dssreadbench48/8myobject
2015-11-07 14:19:20,681 [INFO] [NoneStorage] - performing GET at /dssreadbench45/9myobject
2015-11-07 14:19:21,426 [INFO] [NoneStorage] - performing GET at /dssreadbench44/10myobject
2015-11-07 14:19:21,432 [INFO] [NoneStorage] - performing GET at /dssreadbench46/1myobject
2015-11-07 14:19:22,274 [INFO] [NoneStorage] - performing GET at /dssreadbench46/2myobject
2015-11-07 14:19:23,145 [INFO] [NoneStorage] - performing GET at /dssreadbench45/3myobject
2015-11-07 14:19:23,252 [INFO] [NoneStorage] - performing GET at /dssreadbench43/4myobject
2015-11-07 14:19:24,011 [INFO] [NoneStorage] - performing GET at /dssreadbench43/5myobject
2015-11-07 14:19:24,697 [INFO] [NoneStorage] - performing GET at /dssreadbench46/6myobject
2015-11-07 14:19:25,257 [INFO] [NoneStorage] - performing GET at /dssreadbench41/7myobject
2015-11-07 14:19:26,058 [INFO] [NoneStorage] - performing GET at /dssreadbench44/8myobject
================================================== stage: s3-64m-16t ==================================================
---------------------------------- mission: MBE251291C9, driver: driver1 ----------------------------------
2015-11-07 14:19:41,006 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/MBE251291C9.log
2015-11-07 14:19:41,080 [INFO] [NoneStorage] - performing GET at /dssreadbench45/1myobject
2015-11-07 14:19:41,082 [INFO] [NoneStorage] - performing GET at /dssreadbench43/5myobject
