================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:36:56,149 [INFO] [NoneStorage] - performing DELETE at /dsswritebench69
2015-11-07 10:36:56,543 [INFO] [NoneStorage] - performing DELETE at /dsswritebench70
2015-11-07 10:36:56,893 [INFO] [NoneStorage] - performing DELETE at /dsswritebench71
2015-11-07 10:36:57,521 [INFO] [NoneStorage] - performing DELETE at /dsswritebench72
2015-11-07 10:36:57,926 [INFO] [NoneStorage] - performing DELETE at /dsswritebench73
2015-11-07 10:36:58,314 [INFO] [NoneStorage] - performing DELETE at /dsswritebench74
2015-11-07 10:36:58,666 [INFO] [NoneStorage] - performing DELETE at /dsswritebench75
2015-11-07 10:36:58,966 [INFO] [NoneStorage] - performing DELETE at /dsswritebench76
2015-11-07 10:36:59,316 [INFO] [NoneStorage] - performing DELETE at /dsswritebench77
2015-11-07 10:36:59,662 [INFO] [NoneStorage] - performing DELETE at /dsswritebench78
2015-11-07 10:36:59,956 [INFO] [NoneStorage] - performing DELETE at /dsswritebench79
2015-11-07 10:37:00,360 [INFO] [NoneStorage] - performing DELETE at /dsswritebench80
2015-11-07 10:37:00,764 [INFO] [NoneStorage] - performing DELETE at /dsswritebench81
2015-11-07 10:37:01,220 [INFO] [NoneStorage] - performing DELETE at /dsswritebench82
2015-11-07 10:37:01,560 [INFO] [NoneStorage] - performing DELETE at /dsswritebench83
2015-11-07 10:37:01,850 [INFO] [NoneStorage] - performing DELETE at /dsswritebench84
2015-11-07 10:37:02,182 [INFO] [NoneStorage] - performing DELETE at /dsswritebench85
2015-11-07 10:37:02,560 [INFO] [NoneStorage] - performing DELETE at /dsswritebench86
2015-11-07 10:37:02,860 [INFO] [NoneStorage] - performing DELETE at /dsswritebench87
2015-11-07 10:37:03,178 [INFO] [NoneStorage] - performing DELETE at /dsswritebench88
2015-11-07 10:37:03,517 [INFO] [NoneStorage] - performing DELETE at /dsswritebench89
2015-11-07 10:37:03,870 [INFO] [NoneStorage] - performing DELETE at /dsswritebench90
2015-11-07 10:37:04,192 [INFO] [NoneStorage] - performing DELETE at /dsswritebench91
2015-11-07 10:37:04,539 [INFO] [NoneStorage] - performing DELETE at /dsswritebench92
2015-11-07 10:37:04,893 [INFO] [NoneStorage] - performing DELETE at /dsswritebench93
2015-11-07 10:37:05,192 [INFO] [NoneStorage] - performing DELETE at /dsswritebench94
2015-11-07 10:37:05,568 [INFO] [NoneStorage] - performing DELETE at /dsswritebench95
2015-11-07 10:37:05,958 [INFO] [NoneStorage] - performing DELETE at /dsswritebench96
2015-11-07 10:37:06,384 [INFO] [NoneStorage] - performing DELETE at /dsswritebench97
2015-11-07 10:37:06,430 [INFO] [NoneStorage] - performing DELETE at /dsswritebench98
2015-11-07 10:37:06,458 [INFO] [NoneStorage] - performing DELETE at /dsswritebench99
2015-11-07 10:37:06,489 [INFO] [NoneStorage] - performing DELETE at /dsswritebench100
2015-11-07 10:37:06,514 [INFO] [NoneStorage] - performing DELETE at /dsswritebench101
2015-11-07 10:37:06,541 [INFO] [NoneStorage] - performing DELETE at /dsswritebench102
2015-11-07 10:37:06,581 [INFO] [NoneStorage] - performing DELETE at /dsswritebench103
2015-11-07 10:37:06,606 [INFO] [NoneStorage] - performing DELETE at /dsswritebench104
2015-11-07 10:37:06,634 [INFO] [NoneStorage] - performing DELETE at /dsswritebench105
2015-11-07 10:37:06,673 [INFO] [NoneStorage] - performing DELETE at /dsswritebench106
2015-11-07 10:37:06,709 [INFO] [NoneStorage] - performing DELETE at /dsswritebench107
2015-11-07 10:37:06,739 [INFO] [NoneStorage] - performing DELETE at /dsswritebench108
2015-11-07 10:37:06,766 [INFO] [NoneStorage] - performing DELETE at /dsswritebench109
2015-11-07 10:37:06,790 [INFO] [NoneStorage] - performing DELETE at /dsswritebench110
2015-11-07 10:37:06,815 [INFO] [NoneStorage] - performing DELETE at /dsswritebench111
2015-11-07 10:37:06,844 [INFO] [NoneStorage] - performing DELETE at /dsswritebench112
2015-11-07 10:37:06,870 [INFO] [NoneStorage] - performing DELETE at /dsswritebench113
2015-11-07 10:37:06,895 [INFO] [NoneStorage] - performing DELETE at /dsswritebench114
2015-11-07 10:37:06,923 [INFO] [NoneStorage] - performing DELETE at /dsswritebench115
2015-11-07 10:37:06,951 [INFO] [NoneStorage] - performing DELETE at /dsswritebench116
2015-11-07 10:37:06,980 [INFO] [NoneStorage] - performing DELETE at /dsswritebench117
2015-11-07 10:37:07,034 [INFO] [NoneStorage] - performing DELETE at /dsswritebench118
2015-11-07 10:37:07,068 [INFO] [NoneStorage] - performing DELETE at /dsswritebench119
2015-11-07 10:37:07,128 [INFO] [NoneStorage] - performing DELETE at /dsswritebench120
2015-11-07 10:37:07,161 [INFO] [NoneStorage] - performing DELETE at /dsswritebench121
2015-11-07 10:37:07,190 [INFO] [NoneStorage] - performing DELETE at /dsswritebench122
2015-11-07 10:37:07,220 [INFO] [NoneStorage] - performing DELETE at /dsswritebench123
2015-11-07 10:37:07,257 [INFO] [NoneStorage] - performing DELETE at /dsswritebench124
2015-11-07 10:37:07,285 [INFO] [NoneStorage] - performing DELETE at /dsswritebench125
2015-11-07 10:37:07,313 [INFO] [NoneStorage] - performing DELETE at /dsswritebench126
2015-11-07 10:37:07,341 [INFO] [NoneStorage] - performing DELETE at /dsswritebench127
2015-11-07 10:37:07,370 [INFO] [NoneStorage] - performing DELETE at /dsswritebench128
2015-11-07 10:37:07,434 [INFO] [NoneStorage] - performing DELETE at /dsswritebench129
2015-11-07 10:37:07,464 [INFO] [NoneStorage] - performing DELETE at /dsswritebench130
2015-11-07 10:37:07,493 [INFO] [NoneStorage] - performing DELETE at /dsswritebench131
2015-11-07 10:37:07,521 [INFO] [NoneStorage] - performing DELETE at /dsswritebench132
2015-11-07 10:37:07,548 [INFO] [NoneStorage] - performing DELETE at /dsswritebench133
2015-11-07 10:37:07,584 [INFO] [NoneStorage] - performing DELETE at /dsswritebench134
2015-11-07 10:37:07,636 [INFO] [NoneStorage] - performing DELETE at /dsswritebench135
2015-11-07 10:37:07,668 [INFO] [NoneStorage] - performing DELETE at /dsswritebench136
2015-11-07 10:37:07,696 [INFO] [NoneStorage] - performing DELETE at /dsswritebench137
2015-11-07 10:37:07,726 [INFO] [NoneStorage] - performing DELETE at /dsswritebench138
2015-11-07 10:37:07,829 [INFO] [NoneStorage] - performing DELETE at /dsswritebench139
2015-11-07 10:37:07,876 [INFO] [NoneStorage] - performing DELETE at /dsswritebench140
2015-11-07 10:37:07,919 [INFO] [NoneStorage] - performing DELETE at /dsswritebench141
2015-11-07 10:37:07,953 [INFO] [NoneStorage] - performing DELETE at /dsswritebench142
2015-11-07 10:37:07,999 [INFO] [NoneStorage] - performing DELETE at /dsswritebench143
2015-11-07 10:37:08,024 [INFO] [NoneStorage] - performing DELETE at /dsswritebench144
2015-11-07 10:37:08,057 [INFO] [NoneStorage] - performing DELETE at /dsswritebench145
2015-11-07 10:37:08,093 [INFO] [NoneStorage] - performing DELETE at /dsswritebench146
2015-11-07 10:37:08,126 [INFO] [NoneStorage] - performing DELETE at /dsswritebench147
2015-11-07 10:37:08,160 [INFO] [NoneStorage] - performing DELETE at /dsswritebench148
2015-11-07 10:37:08,188 [INFO] [NoneStorage] - performing DELETE at /dsswritebench149
2015-11-07 10:37:08,226 [INFO] [NoneStorage] - performing DELETE at /dsswritebench150
2015-11-07 10:37:08,254 [INFO] [NoneStorage] - performing DELETE at /dsswritebench151
2015-11-07 10:37:08,289 [INFO] [NoneStorage] - performing DELETE at /dsswritebench152
2015-11-07 10:37:08,317 [INFO] [NoneStorage] - performing DELETE at /dsswritebench153
2015-11-07 10:37:08,348 [INFO] [NoneStorage] - performing DELETE at /dsswritebench154
2015-11-07 10:37:08,372 [INFO] [NoneStorage] - performing DELETE at /dsswritebench155
2015-11-07 10:37:08,418 [INFO] [NoneStorage] - performing DELETE at /dsswritebench156
2015-11-07 10:37:08,449 [INFO] [NoneStorage] - performing DELETE at /dsswritebench157
2015-11-07 10:37:08,478 [INFO] [NoneStorage] - performing DELETE at /dsswritebench158
2015-11-07 10:37:08,508 [INFO] [NoneStorage] - performing DELETE at /dsswritebench159
2015-11-07 10:37:08,543 [INFO] [NoneStorage] - performing DELETE at /dsswritebench160
